,Gene_Name,mantis_ml_proba,mantis_ml_perc
76,TKT,0.867345607,99.59196822
77,CD151,0.867266858,99.58659938
78,PDGFA,0.867170166,99.58123054
79,ITGB3,0.866823962,99.5758617
80,CD36,0.866120651,99.57049286
81,XDH,0.865626043,99.56512402
82,MDM2,0.865568961,99.55975518
83,GPC3,0.865518513,99.55438634
84,YES1,0.864756338,99.5490175
85,PDGFB,0.86428739,99.54364866
86,WASL,0.862870726,99.53827982
87,LBR,0.862754703,99.53291098
88,SERPINE1,0.862558362,99.52754215
89,SPP1,0.862434189,99.52217331
90,IFT122,0.862210558,99.51680447
91,IQGAP2,0.861671711,99.51143563
92,CTNND1,0.860606264,99.50606679
93,NOTCH1,0.860320303,99.50069795
94,PIBF1,0.856947608,99.49532911
95,CFI,0.856766456,99.48996027
96,TLR4,0.856051434,99.48459143
97,OFD1,0.856038584,99.47922259
98,G6PC,0.856033109,99.47385375
99,SC5D,0.855169331,99.46848491
100,ITGB1,0.855122892,99.46311607
101,BRCA1,0.854726944,99.45774724
102,DHCR7,0.854523103,99.4523784
103,CLCNKB,0.854522133,99.44700956
104,PEX1,0.854494738,99.44164072
105,ITGAV,0.854052952,99.43627188
106,CTSA,0.854001755,99.43090304
107,ROCK1,0.853771515,99.4255342
108,TFAP2B,0.853162758,99.42016536
109,COL4A1,0.853131856,99.41479652
110,TNFAIP3,0.852541211,99.40942768
111,TSC2,0.85147199,99.40405884
112,DYNC2H1,0.851276813,99.39869
113,SPTB,0.851211317,99.39332116
114,PAX8,0.851204462,99.38795232
115,WDR35,0.851064863,99.38258349
116,SOX9,0.851042323,99.37721465
117,ZFP36L2,0.850859098,99.37184581
118,ITGA8,0.850743697,99.36647697
119,CD44,0.850667052,99.36110813
120,C3,0.85053445,99.35573929
121,LRP2,0.849889214,99.35037045
122,EGFR,0.849512572,99.34500161
123,PKHD1,0.849472635,99.33963277
124,COL4A4,0.849335896,99.33426393
125,FNIP2,0.849141302,99.32889509
126,NOS3,0.849019957,99.32352625
127,ARHGAP35,0.848779314,99.31815741
128,EDNRB,0.84857981,99.31278858
129,SLC6A8,0.8476625,99.30741974
130,CD2AP,0.847571872,99.3020509
131,CC2D2A,0.846991847,99.29668206
132,VDR,0.846528991,99.29131322
133,ITGA6,0.846482102,99.28594438
134,PHKB,0.8463327,99.28057554
135,MYH9,0.846194114,99.2752067
136,TP53BP2,0.845765349,99.26983786
137,PKD2,0.844511231,99.26446902
138,DLG1,0.844133271,99.25910018
139,BSND,0.84375402,99.25373134
140,ALDH2,0.843102176,99.2483625
141,ASAH1,0.842540811,99.24299366
142,MAGI2,0.841488918,99.23762483
143,BDKRB2,0.841482977,99.23225599
144,AHR,0.841337612,99.22688715
145,STK36,0.841207364,99.22151831
