"Rank","GeneSymbol","GeneId","GO: Molecular Function Score","GO: Molecular Function pValue","GO: Biological Process Score","GO: Biological Process pValue","GO: Cellular Component Score","GO: Cellular Component pValue","Human Phenotype Score","Human Phenotype pValue","Mouse Phenotype Score","Mouse Phenotype pValue","Pathway Score","Pathway pValue","Pubmed Score","Pubmed pValue","Interaction Score","Interaction pValue","Coexpression Score","Coexpression pValue","Coexpression Atlas Score","Coexpression Atlas pValue","ToppCell Atlas Score","ToppCell Atlas pValue","Disease Score","Disease pValue","Average Score","Overall pValue"
4817,"ALG11",440138,0.06571049026639511,0.20003872966692487,0.9548852801268732,0.17447714949651433,0.8756805874191081,0.11289697908597986,0.9897286501948142,0.03466305189775368,0.023404264480239967,0.1254841208365608,0.0,0.5001936483346243,0.5980067551786196,0.19016266460108444,9.999980000009995E-5,0.16092176607281178,0.0,0.5739736638264911,0.0,0.5098760650658405,0.0,0.5,0.12119416420000878,0.11425251742835012,0.370714954836416,0.08278800541337406
4818,"SEPTIN14",346288,0.9666053804114856,0.0313710302091402,0.7837976091711726,0.19694035631293572,0.9141353711896724,0.10166537567776918,0.9999999994931031,0.014136328427575524,-1.0,0.0,-1.0,0.0,0.06980542998698491,0.2621998450813323,0.0,0.5803640588690937,0.0,0.5739736638264911,0.0,0.5098760650658405,-1.0,0.0,0.0,0.5681642137877614,0.45431109156563004,0.08279929316510759
4819,"UCKL1",54963,0.976310499661995,0.02885360185902401,0.9999859105967991,0.08346243222308287,0.26525232490665757,0.24670797831138652,-1.0,0.0,-1.0,0.0,0.0,0.5001936483346243,0.8269871368045542,0.15375677769171184,0.11957158766686586,0.1438807126258714,0.44581198081533524,0.06254841208365608,0.0,0.5098760650658405,0.0,0.5,0.0,0.5681642137877614,0.4204098993029596,0.08281072926991762
4820,"ZBTB11",27107,0.1819899480940307,0.18841982958946554,0.993694476510298,0.14756003098373355,0.6126694790365945,0.17718822618125485,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.9863191418035654,0.09024012393493416,0.3700260316563412,0.10302091402013942,0.6142728313560698,0.03388845855925639,0.0,0.5098760650658405,0.0,0.5,0.0,0.5681642137877614,0.4913208207500505,0.08281553488240789
4821,"TIMM22",29928,0.37343179111304575,0.15530596436870642,0.9768490080683185,0.16402013942680094,0.9905936036458981,0.055964368706429124,-1.0,0.0,0.4935618206579442,0.08907823392718822,0.0,0.5001936483346243,0.938362910730525,0.12064291247095275,0.3337511001526891,0.10902401239349342,0.09744904652073447,0.13284275755228506,0.0,0.5098760650658405,0.0,0.5,0.0,0.5681642137877614,0.4491936144701238,0.08284349057167573
4822,"MIOX",55586,0.8504866125214192,0.05712625871417506,0.8026936637765372,0.19519752130131682,0.5959896196766123,0.1829976762199845,-1.0,0.0,0.16428071543057002,0.11270333075135554,0.0,0.5001936483346243,0.35440205675806385,0.21901626646010844,-1.0,0.0,0.0,0.5739736638264911,0.1638913875474142,0.014523625096824167,0.0,0.5,0.0,0.5681642137877614,0.3754680940876994,0.08285242410829485
4823,"BCL2L13",23786,0.6710185775034316,0.09566227730441518,0.999835879412058,0.1063129357087529,0.9170751232855027,0.10069713400464755,-1.0,0.0,-1.0,0.0,0.0,0.5001936483346243,0.9917161607279747,0.08152594887683966,0.6138139026636775,0.07068164213787761,5.257341784257205E-4,0.13962044926413633,0.0,0.5098760650658405,0.0,0.5,0.0,0.5681642137877614,0.45565580316966897,0.08286500284566256
4824,"ADCY4",196883,0.9978130835056452,0.0087141750580945,0.9999999999935754,0.06584043377226956,0.9691006867090557,0.07629744384198296,-1.0,0.0,9.99998000001E-5,0.1349728892331526,0.0,0.5001936483346243,0.14882733676952076,0.23896204492641362,0.0,0.5803640588690937,0.0,0.5739736638264911,0.0,0.5098760650658405,0.0,0.5,-1.0,0.0,0.3379119824376295,0.0829787787324674
4825,"MLYCD",23417,0.3357426651288065,0.16440743609604958,0.9999999999490584,0.06584043377226956,0.6435036750216834,0.17525174283501163,0.9421676758834941,0.037955073586367155,0.008032469627589774,0.1349728892331526,0.0,0.5001936483346243,0.8185634086258845,0.1551123160340821,0.0,0.5803640588690937,0.0,0.5739736638264911,0.0,0.5098760650658405,0.0,0.5,0.5361049956238636,0.06913245546088304,0.42323658523083935,0.08299922751192779
4826,"CENPH",64946,0.38459076024662936,0.1524012393493416,0.9905403618685219,0.15259488768396592,0.7281685837849112,0.16615027110766847,-1.0,0.0,0.023962140494844526,0.1254841208365608,0.0,0.5001936483346243,0.9246830599665683,0.12645236250968242,0.02779287476717044,0.15530596436870642,0.29749966047927723,0.09779240898528273,0.0,0.5098760650658405,0.0,0.5,2.5874652844749704E-4,0.13632842757552285,0.3695857418545483,0.08300721597167326
