snoU13	ENSG00000238687ENSG00000239025ENSG00000238760ENSG00000238701ENSG00000238776ENSG00000251737ENSG00000238954ENSG00000238708ENSG00000239133ENSG00000238878ENSG00000238931ENSG00000252058ENSG00000238816ENSG00000238398ENSG00000238770ENSG00000238734ENSG00000239098ENSG00000238695ENSG00000238295ENSG00000239191ENSG00000238929ENSG00000251709ENSG00000238753ENSG00000238465ENSG00000238756ENSG00000238806ENSG00000238661ENSG00000238629ENSG00000238455ENSG00000238775ENSG00000238557ENSG00000238748ENSG00000238905ENSG00000238594ENSG00000238459ENSG00000238301ENSG00000238598ENSG00000238838ENSG00000238472ENSG00000238605ENSG00000238696ENSG00000238569ENSG00000238501ENSG00000238361ENSG00000238684ENSG00000238984ENSG00000238528ENSG00000238906ENSG00000238852ENSG00000238591ENSG00000251938ENSG00000239121ENSG00000238520ENSG00000238384ENSG00000239089ENSG00000238740ENSG00000252771ENSG00000238450ENSG00000238960ENSG00000238608ENSG00000238999ENSG00000238453ENSG00000251762ENSG00000238715ENSG00000238863ENSG00000239093ENSG00000238318ENSG00000239084ENSG00000238792ENSG00000238790ENSG00000251860ENSG00000239153ENSG00000238538ENSG00000238676ENSG00000238484ENSG00000238972ENSG00000238583ENSG00000238466ENSG00000238732ENSG00000238630ENSG00000238354ENSG00000238436ENSG00000238802ENSG00000238874ENSG00000238325ENSG00000238688ENSG00000238544ENSG00000239094ENSG00000252387ENSG00000238899ENSG00000239046ENSG00000239018ENSG00000239044ENSG00000238535ENSG00000238428ENSG00000238729ENSG00000238559ENSG00000239017ENSG00000238581ENSG00000238761ENSG00000238549ENSG00000238514ENSG00000238572ENSG00000252295ENSG00000238665ENSG00000238887ENSG00000238891ENSG00000239129ENSG00000238674ENSG00000238736ENSG00000238496ENSG00000239049ENSG00000238329ENSG00000271922ENSG00000238896ENSG00000238935ENSG00000239064ENSG00000238483ENSG00000238541ENSG00000238492ENSG00000238481ENSG00000238311ENSG00000239154ENSG00000238576ENSG00000238458ENSG00000238352ENSG00000239103ENSG00000252638ENSG00000238563ENSG00000238822ENSG00000252609ENSG00000239144ENSG00000238571ENSG00000238747ENSG00000238900ENSG00000239188ENSG00000238389ENSG00000252110ENSG00000238422ENSG00000238651ENSG00000238451ENSG00000238772ENSG00000238733ENSG00000238714ENSG00000238699ENSG00000238690ENSG00000238746ENSG00000238502ENSG00000238858ENSG00000238337ENSG00000238841ENSG00000238938ENSG00000238791ENSG00000272310ENSG00000238724ENSG00000238692ENSG00000239170ENSG00000239083ENSG00000252388ENSG00000238296ENSG00000238314ENSG00000243321ENSG00000238996ENSG00000238556ENSG00000239079ENSG00000238369ENSG00000238864ENSG00000238868ENSG00000239091ENSG00000238951ENSG00000238545ENSG00000238666ENSG00000238425ENSG00000252402ENSG00000238533ENSG00000238624ENSG00000238739ENSG00000238371ENSG00000238316ENSG00000238979ENSG00000238326ENSG00000238693ENSG00000238408ENSG00000252435ENSG00000238639ENSG00000238322ENSG00000238498ENSG00000239128ENSG00000238885ENSG00000238981ENSG00000238642ENSG00000238328ENSG00000238339ENSG00000238744ENSG00000238313ENSG00000238645ENSG00000238872ENSG00000238430ENSG00000272464ENSG00000238663ENSG00000238513ENSG00000238343ENSG00000238851ENSG00000238796ENSG00000238494ENSG00000238596ENSG00000252447ENSG00000238491ENSG00000239171ENSG00000238341ENSG00000239166ENSG00000239141ENSG00000239000ENSG00000238485ENSG00000252799ENSG00000238349ENSG00000238620ENSG00000252265ENSG00000238798ENSG00000238843ENSG00000238948ENSG00000238401ENSG00000238615ENSG00000238543ENSG00000238893ENSG00000239100ENSG00000238686ENSG00000239045ENSG00000238992ENSG00000238628ENSG00000238907ENSG00000239116ENSG00000238552ENSG00000238309ENSG00000239126ENSG00000238480ENSG00000239015ENSG00000238781ENSG00000239130ENSG00000239068ENSG00000239193ENSG00000271796ENSG00000239026ENSG00000238525ENSG00000238856ENSG00000238568ENSG00000238582ENSG00000238438ENSG00000238536ENSG00000239034ENSG00000238486ENSG00000252525ENSG00000239146ENSG00000238914ENSG00000239132ENSG00000238433ENSG00000238507ENSG00000238662ENSG00000239173ENSG00000238294ENSG00000238473ENSG00000238375ENSG00000239056ENSG00000239080ENSG00000238717ENSG00000238437ENSG00000238932ENSG00000239172ENSG00000252088ENSG00000238995ENSG00000238646ENSG00000238982ENSG00000238511ENSG00000238348ENSG00000238652ENSG00000239027ENSG00000238855ENSG00000238445ENSG00000238859ENSG00000238722ENSG00000238565ENSG00000238889ENSG00000238372ENSG00000238414ENSG00000238771ENSG00000252706ENSG00000252071ENSG00000239065ENSG00000238683ENSG00000238595ENSG00000239157ENSG00000238800ENSG00000239086ENSG00000238970ENSG00000238407ENSG00000272179ENSG00000239087ENSG00000239114ENSG00000239067ENSG00000238712ENSG00000239073ENSG00000238409ENSG00000239186ENSG00000238350ENSG00000238359ENSG00000239052ENSG00000239061ENSG00000238849ENSG00000238940ENSG00000238334ENSG00000239096ENSG00000238611ENSG00000238567ENSG00000238355ENSG00000238654ENSG00000238804ENSG00000238974ENSG00000239176ENSG00000238416ENSG00000238752ENSG00000238368ENSG00000238530ENSG00000239095ENSG00000238865ENSG00000238925ENSG00000238546ENSG00000238488ENSG00000238327ENSG00000238394ENSG00000239020ENSG00000238694ENSG00000272272ENSG00000238834ENSG00000238631ENSG00000238679ENSG00000238321ENSG00000238400ENSG00000238522ENSG00000238853ENSG00000238920ENSG00000238657ENSG00000251848ENSG00000238570ENSG00000238625ENSG00000238809ENSG00000238922ENSG00000238351ENSG00000238901ENSG00000238395ENSG00000238298ENSG00000238305ENSG00000239134ENSG00000238656ENSG00000238592ENSG00000238824ENSG00000238418ENSG00000238895ENSG00000239058ENSG00000238402ENSG00000238991ENSG00000238799ENSG00000238910ENSG00000238871ENSG00000239077ENSG00000239055ENSG00000238506ENSG00000238768ENSG00000238566ENSG00000251926ENSG00000238673ENSG00000239013ENSG00000239072ENSG00000239024ENSG00000239035ENSG00000238521ENSG00000238330ENSG00000238801ENSG00000238587ENSG00000239155ENSG00000238945ENSG00000238821ENSG00000239033ENSG00000238892ENSG00000238939ENSG00000238319ENSG00000251817ENSG00000238383ENSG00000271794ENSG00000238515ENSG00000238440ENSG00000238902ENSG00000238805ENSG00000238918ENSG00000238537ENSG00000238342ENSG00000238869ENSG00000238978ENSG00000238818ENSG00000239140ENSG00000238388ENSG00000238588ENSG00000239136ENSG00000239037ENSG00000238579ENSG00000238763ENSG00000238702ENSG00000238526ENSG00000238691ENSG00000238345ENSG00000238703ENSG00000238888ENSG00000238577ENSG00000239111ENSG00000239011ENSG00000239031ENSG00000238475ENSG00000239041ENSG00000239135ENSG00000238811ENSG00000238387ENSG00000238462ENSG00000238464ENSG00000239159ENSG00000238745ENSG00000238985ENSG00000238860ENSG00000238986ENSG00000238947ENSG00000239123ENSG00000238376ENSG00000238618ENSG00000238975ENSG00000238815ENSG00000252679ENSG00000238718ENSG00000238336ENSG00000239063ENSG00000238612ENSG00000238312ENSG00000238474ENSG00000238969ENSG00000238946ENSG00000238807ENSG00000238670ENSG00000252668ENSG00000238403ENSG00000238626ENSG00000238463ENSG00000239145ENSG00000238764ENSG00000239137ENSG00000238988ENSG00000239054ENSG00000238767ENSG00000239059ENSG00000239038ENSG00000239066ENSG00000238564ENSG00000238983ENSG00000238769ENSG00000238857ENSG00000238306ENSG00000271842ENSG00000239125ENSG00000239161
RP11-312B8.1	ENSG00000237436
CAMTA1	ENSG00000171735
RP11-312B8.2	ENSG00000227950
RP11-334N17.1	ENSG00000237365
RNU1-8P	ENSG00000207056
CAMTA1-IT1	ENSG00000237402
RP3-453P22.2	ENSG00000237728
RP4-549F15.1	ENSG00000225126
RP11-338N10.1	ENSG00000270171
RP11-338N10.2	ENSG00000270035
RP11-338N10.3	ENSG00000269978
VAMP3	ENSG00000049245
RP3-467L1.6	ENSG00000269925
PER3	ENSG00000049246
RP3-467L1.4	ENSG00000236266
UTS2	ENSG00000049247
TNFRSF9	ENSG00000049249
RP5-892F13.2	ENSG00000270330
PARK7	ENSG00000116288
