"Rank","GeneSymbol","GeneId","GO: Molecular Function Score","GO: Molecular Function pValue","GO: Biological Process Score","GO: Biological Process pValue","GO: Cellular Component Score","GO: Cellular Component pValue","Human Phenotype Score","Human Phenotype pValue","Mouse Phenotype Score","Mouse Phenotype pValue","Pathway Score","Pathway pValue","Pubmed Score","Pubmed pValue","Interaction Score","Interaction pValue","Gene Family Score","Gene Family pValue","Coexpression Score","Coexpression pValue","Coexpression Atlas Score","Coexpression Atlas pValue","Disease Score","Disease pValue","Average Score","Overall pValue"
20,"SMAD3",4088,0.9999999521260596,3.872966692486445E-4,0.9999999999999996,0.11057319907048799,0.9905122045983836,0.07455460883036406,0.9999999999999996,0.04124709527498063,1.0,0.06003098373353989,0.9993636951259232,0.0052285050348567005,0.8424806582671707,0.197714949651433,0.7609984278766825,0.11289697908597986,0.0,0.5075522850503486,0.9999999999789391,0.012199845081332301,0.9360884322532139,0.08520526723470179,1.0,0.023818745158791635,0.9135378469214075,1.0539406005116714E-4
21,"HSP90AA1",3320,0.99999731833109,0.0011618900077459333,1.0,0.11057319907048799,1.0,0.0087141750580945,-1.0,0.0,0.9999999183491438,0.060418280402788536,0.9999996713239855,0.002517428350116189,0.8424806582671711,0.197714949651433,0.7609984278766821,0.11289697908597986,0.0,0.5075522850503486,0.9999814370223372,0.022269558481797055,0.9728154636277007,0.06855151045701006,0.9999999999999991,0.023818745158791635,0.9078466580155541,1.0683703934044608E-4
22,"EGF",1950,0.9963600800216782,0.030209140201394268,0.9999999999999996,0.11057319907048799,0.9999953604117743,0.013555383423702556,0.9999999441442571,0.04124709527498063,0.9999999999882405,0.06003098373353989,0.999999999998761,0.002517428350116189,0.8424806582671711,0.197714949651433,0.7580896213010929,0.11347792408985283,-1.0,0.0,0.9997923066181081,0.03563129357087529,0.9999995575734011,0.015491866769945779,0.9999999999999996,0.023818745158791635,0.9996518134733466,1.1414437919199383E-4
23,"SMARCA4",6597,0.9999999620268936,3.872966692486445E-4,1.0,0.11057319907048799,0.9854269776966059,0.08365608055770721,0.9999999999999996,0.04124709527498063,0.9999999999999991,0.06003098373353989,0.6580747252749308,0.03350116189000774,0.8424806582671711,0.197714949651433,0.7609984278766821,0.11289697908597986,-1.0,0.0,0.9999973069647362,0.016072811773818745,0.9996667570627662,0.03427575522850503,1.0,0.023818745158791635,0.9821588727340828,1.161191570716591E-4
24,"FLT3",2322,0.9999869616883066,0.002517428350116189,0.9999999999999991,0.11057319907048799,0.9601943424606968,0.10844306738962045,0.9999999999999996,0.04124709527498063,1.0,0.06003098373353989,0.7529102675239613,0.02769171185127808,0.8424806582671714,0.197714949651433,0.7602545393003071,0.11289697908597986,0.5069739612795876,0.003292021688613478,0.9994843830280093,0.04512006196746708,0.8886372513668969,0.09779240898528273,0.9999999999999996,0.023818745158791635,0.9413755150706442,1.1902897488991204E-4
25,"ERBB4",2066,0.9999153757600695,0.006196746707978312,0.9999999999999991,0.11057319907048799,0.9999047640363923,0.025561580170410533,0.9999999999999991,0.04124709527498063,0.9999999999999996,0.06003098373353989,0.999998334402939,0.003098373353989156,0.8424806582671714,0.197714949651433,0.7609371536859936,0.11289697908597986,0.0,0.5075522850503486,0.9999989864110844,0.014523625096824167,0.9996759118630336,0.03427575522850503,0.9999999999999991,0.023818745158791635,0.9166431175573245,1.246285366255373E-4
26,"AGRN",375790,0.9999968175200019,0.0011618900077459333,0.9999999999999996,0.11057319907048799,0.9999969450652103,0.013168086754453912,0.9991574041723212,0.04841208365608056,0.9999999999406598,0.06003098373353989,0.9586880795315401,0.012974438419829589,0.8424806582671714,0.197714949651433,0.7315141855425318,0.11657629744384199,0.0,0.5075522850503486,0.9999982426510023,0.015298218435321457,0.9999999999999951,0.015104570100697134,0.8452872410041443,0.10611928737412858,0.9065452728434779,1.2527485232416424E-4
27,"RB1",5925,0.999991935799717,0.0021301316808675446,0.9999999999999996,0.11057319907048799,0.9985274622341475,0.044151820294345466,0.9999999999999996,0.04124709527498063,0.9999999999999991,0.06003098373353989,0.9999147668692018,0.004066615027110767,0.8424806582671707,0.197714949651433,0.7609984278766828,0.11289697908597986,0.0,0.5075522850503486,0.9999999999998246,0.012199845081332301,0.99230694198557,0.053640588690937255,0.9999999999999991,0.023818745158791635,0.9162811541627427,1.2577161360072253E-4
28,"TCF7L2",6934,0.9999930424906043,0.0021301316808675446,0.9999999999999996,0.11057319907048799,0.9794092857171812,0.09120836560805577,0.9721852540439762,0.0540278853601859,0.9999999999999991,0.06003098373353989,0.9999614717996852,0.0038729666924864447,0.8424806582671711,0.197714949651433,0.7607745631269838,0.11289697908597986,-1.0,0.0,0.9999999724776594,0.012199845081332301,0.9805882829626473,0.06409759876065066,0.999999999992534,0.023818745158791635,0.996884848378429,1.280509035208599E-4
29,"MERTK",10461,0.9971199594947047,0.027110766847405113,1.0,0.11057319907048799,0.9993445936373863,0.03621223857474826,0.9999999999999996,0.04124709527498063,0.9999999999999991,0.06003098373353989,0.5487274303744152,0.04085979860573199,0.8424806582558254,0.197714949651433,0.5656862454877141,0.13536018590240123,0.5069739612795876,0.003292021688613478,0.9985464953683161,0.05731990704879938,0.9999968837002116,0.01820294345468629,0.9999999931235692,0.023818745158791635,0.925618712842819,1.3888860983091167E-4
