Gene_Name	essential_mouse_knockout	non_essential_mouse_knockout
RTP4	N	N
SST	N	Y
RTP2	N	Y
RP11-211G3.3	N	N
BCL6	Y	N
LPP	Y	N
AC022498.1	N	N
TPRG1	N	N
TP63	Y	N
LEPREL1	N	N
CLDN1	Y	N
CLDN16	N	Y
TMEM207	N	N
IL1RAP	N	Y
GMNC	N	N
OSTN	N	N
UTS2D	N	N
CCDC50	N	N
PYDC2	N	N
FGF12	N	Y
MB21D2	N	N
HRASLS	N	N
ATP13A5	N	N
ATP13A4	N	N
OPA1	Y	N
HES1	Y	N
CPN2	N	N
LRRC15	N	N
GP5	N	Y
ATP13A3	N	N
TMEM44	N	N
LSG1	N	N
FAM43A	N	N
XXYLT1	N	N
ACAP2	N	N
PPP1R2	N	N
APOD	N	Y
MUC20	N	N
MUC4	N	N
TNK2	N	N
TFRC	Y	N
ZDHHC19	N	N
AC069257.9	N	N
PCYT1A	Y	N
TCTEX1D2	N	N
TM4SF19	N	N
UBXN7	N	N
RNF168	N	N
C3orf43	N	N
WDR53	N	N
FBXO45	Y	N
LRRC33	N	N
PIGX	N	N
CEP19	N	N
PAK2	Y	N
SENP5	N	N
NCBP2	N	N
PIGZ	N	N
MFI2	N	N
DLG1	Y	N
BDH1	N	N
KIAA0226	N	N
FYTTD1	N	N
LRCH3	N	N
IQCG	N	N
RPL35A	N	N
LMLN	N	N
FAM157A	N	N
ZNF595	N	N
ZNF732	N	N
ZNF141	N	N
ZNF721	N	N
PIGG	N	N
PDE6B	N	Y
ATP5I	N	N
MYL5	N	N
MFSD7	N	N
PCGF3	N	Y
CPLX1	N	Y
GAK	N	N
TMEM175	N	N
DGKQ	N	N
SLC26A1	N	Y
IDUA	N	Y
FGFRL1	Y	N
RNF212	N	N
SPON2	N	Y
AC092535.1	N	N
CTBP1	Y	N
MAEA	Y	N
UVSSA	N	N
CRIPAK	N	N
NKX1-1	N	N
FAM53A	N	N
SLBP	N	N
TMEM129	N	N
TACC3	Y	N
FGFR3	Y	N
LETM1	N	N
WHSC1	Y	N
WHSC2	N	N
C4orf48	N	N
NAT8L	N	N
POLN	N	N
HAUS3	N	Y
MXD4	N	N
ZFYVE28	N	N
RP11-503N18.3	N	N
RNF4	Y	N
FAM193A	N	N
TNIP2	N	Y
SH3BP2	N	Y
ADD1	Y	N
MFSD10	N	N
NOP14	N	N
GRK4	N	Y
HTT	Y	N
MSANTD1	N	N
RGS12	N	N
HGFAC	N	Y
DOK7	Y	N
LRPAP1	Y	N
RP3-368B9.1	N	N
ADRA2C	N	Y
OTOP1	N	Y
TMEM128	N	N
LYAR	N	N
ZBTB49	N	N
NSG1	N	N
STX18	N	N
MSX1	Y	N
CYTL1	N	Y
STK32B	N	N
C4orf6	N	N
EVC2	N	N
EVC	Y	N
CRMP1	N	Y
C4orf50	N	N
JAKMIP1	N	N
WFS1	Y	N
PPP2R2C	N	N
MAN2B2	N	N
MRFAP1	N	Y
S100P	N	N
MRFAP1L1	N	N
CNO	N	Y
KIAA0232	N	N
TBC1D14	N	N
CCDC96	N	N
TADA2B	N	N
GRPEL1	N	N
SORCS2	N	N
PSAPL1	N	N
AFAP1	N	N
AC097381.1	N	N
ABLIM2	N	N
SH3TC1	N	N
HTRA3	N	N
ACOX3	N	N
TRMT44	N	N
GPR78	N	N
CPZ	N	N
HMX1	Y	N
FAM90A26P	N	N
RP11-1286E23.8	N	N
RP11-1286E23.5	N	N
RP11-1286E23.6	N	N
RP11-1286E23.7	N	N
RP11-1286E23.10	N	N
RP11-1286E23.12	N	N
RP11-1286E23.13	N	N
RP11-1286E23.14	N	N
RP11-1286E23.15	N	N
RP11-1286E23.16	N	N
RP11-1286E23.17	N	N
RP11-1286E23.18	N	N
USP17	N	N
RP11-1396O13.4	N	N
RP11-1396O13.5	N	N
USP17L5	N	N
RP11-1396O13.7	N	N
RP11-1396O13.8	N	N
RP11-1396O13.9	N	N
RP11-1396O13.11	N	N
RP11-1396O13.13	N	N
DEFB131	N	N
SLC2A9	Y	N
DRD5	N	Y
WDR1	Y	N
ZNF518B	N	N
CLNK	N	Y
HS3ST1	Y	N
RAB28	N	N
NKX3-2	Y	N
BOD1L1	N	N
CPEB2	N	N
C1QTNF7	N	N
CC2D2A	N	Y
FBXL5	Y	N
FAM200B	N	N
BST1	N	Y
CD38	N	Y
FGFBP1	N	N
FGFBP2	N	N
PROM1	N	Y
TAPT1	Y	N
LDB2	N	Y
QDPR	N	N
CLRN2	N	N
LAP3	N	N
MED28	N	N
FAM184B	N	Y
DCAF16	N	N
NCAPG	N	N
LCORL	N	N
SLIT2	Y	N
PACRGL	N	N
KCNIP4	N	N
GPR125	N	Y
PPARGC1A	Y	N
DHX15	N	N
SOD3	N	Y
CCDC149	N	N
LGI2	N	N
SEPSECS	N	N
PI4K2B	N	N
ZCCHC4	N	N
ANAPC4	N	N
SLC34A2	Y	N
SEL1L3	N	N
C4orf52	N	N
RBPJ	Y	N
CCKAR	N	Y
TBC1D19	N	N
STIM2	N	Y
RP11-180C1.1	N	N
PCDH7	N	N
ARAP2	N	N
DTHD1	N	N
KIAA1239	N	N
C4orf19	N	N
RELL1	N	N
PGM2	N	Y
TBC1D1	N	N
PTTG2	N	N
AC021860.1	N	N
KLF3	Y	N
TLR10	N	N
TLR1	N	Y
TLR6	N	Y
FAM114A1	N	N
TMEM156	N	N
KLHL5	N	N
WDR19	Y	N
RFC1	N	N
KLB	N	Y
RPL9	N	N
LIAS	Y	N
UGDH	Y	N
C4orf34	N	N
UBE2K	N	Y
PDS5A	Y	N
N4BP2	N	N
RHOH	N	Y
CHRNA9	N	Y
RBM47	N	N
NSUN7	N	Y
APBB2	N	Y
UCHL1	N	Y
LIMCH1	N	N
PHOX2B	Y	N
TMEM33	N	N
DCAF4L1	N	N
SLC30A9	N	N
BEND4	N	N
SHISA3	N	Y
ATP8A1	N	Y
GRXCR1	N	Y
KCTD8	N	N
YIPF7	N	N
GUF1	N	N
GNPDA2	N	N
GABRG1	N	N
GABRA2	Y	N
COX7B2	N	N
GABRA4	N	Y
GABRB1	N	N
COMMD8	N	N
ATP10D	N	N
CORIN	N	Y
NFXL1	N	N
NIPAL1	N	N
CNGA1	N	N
TXK	N	Y
TEC	N	Y
SLAIN2	N	N
SLC10A4	N	N
ZAR1	N	Y
FRYL	N	N
OCIAD1	N	N
OCIAD2	N	N
CWH43	N	N
DCUN1D4	N	N
LRRC66	N	N
SGCB	N	Y
SPATA18	N	N
USP46	N	N
ERVMER34-1	N	N
RASL11B	N	N
SCFD2	N	N
FIP1L1	N	N
LNX1	N	N
CHIC2	N	N
GSX2	Y	N
PDGFRA	Y	N
KIT	Y	N
KDR	Y	N
SRD5A3	Y	N
TMEM165	N	N
CLOCK	N	Y
PDCL2	N	N
NMU	N	Y
EXOC1	N	N
CEP135	N	N
KIAA1211	N	N
AASDH	N	N
PPAT	N	N
PAICS	N	N
SRP72	N	N
ARL9	N	N
THEGL	N	N
HOPX	Y	N
SPINK2	N	Y
REST	Y	N
NOA1	Y	N
POLR2B	N	N
IGFBP7	N	N
LPHN3	N	N
TECRL	N	N
EPHA5	N	Y
CENPC1	Y	N
STAP1	N	N
UBA6	Y	N
GNRHR	N	Y
TMPRSS11D	N	Y
TMPRSS11A	N	Y
TMPRSS11F	N	N
TMPRSS11BNL	N	N
TMPRSS11B	N	N
YTHDC1	N	N
TMPRSS11E	N	N
UGT2B17	N	N
UGT2B15	N	N
UGT2B10	N	N
UGT2A3	N	N
UGT2B7	N	N
UGT2B11	N	N
UGT2B28	N	N
UGT2B4	N	N
UGT2A1	N	N
SULT1B1	N	N
SULT1E1	N	Y
CSN1S1	N	Y
CSN2	N	Y
STATH	N	N
HTN3	N	N
HTN1	N	N
C4orf40	N	N
ODAM	N	N
FDCSP	N	N
CSN3	N	Y
CABS1	N	N
SMR3A	N	N
SMR3B	N	N
PROL1	N	N
MUC7	N	N
AMTN	N	N
AMBN	N	Y
ENAM	N	Y
IGJ	N	Y
UTP3	N	N
RUFY3	N	N
GRSF1	N	N
MOB1B	N	N
DCK	N	Y
SLC4A4	Y	N
GC	N	Y
NPFFR2	N	N
ADAMTS3	N	N
COX18	N	N
ANKRD17	Y	N
ALB	N	Y
AFP	N	Y
AFM	N	N
RASSF6	N	N
IL8	N	Y
CXCL6	N	Y
PF4V1	N	N
CXCL1	N	N
PF4	N	Y
PPBP	N	N
CXCL5	N	N
CXCL3	N	N
CXCL2	N	N
MTHFD2L	N	N
EPGN	N	N
EREG	N	Y
AREG	N	Y
AREGB	N	N
BTC	N	Y
PARM1	N	N
RCHY1	N	Y
THAP6	N	N
C4orf26	N	N
CDKL2	N	N
G3BP2	N	N
USO1	N	N
PPEF2	N	Y
NAAA	N	N
SDAD1	N	N
CXCL9	N	Y
ART3	N	N
CXCL10	N	Y
CXCL11	N	N
NUP54	N	N
SCARB2	N	Y
FAM47E	N	N
STBD1	N	N
CCDC158	N	N
SHROOM3	Y	N
SOWAHB	N	N
11-Sep	N	N
CCNI	N	Y
CCNG2	N	N
CXCL13	N	Y
CNOT6L	N	N
MRPL1	N	N
FRAS1	Y	N
ANXA3	N	N
BMP2K	N	N
PAQR3	N	Y
NAA11	N	N
GK2	N	N
ANTXR2	N	Y
PRDM8	N	N
FGF5	N	Y
C4orf22	N	N
BMP3	N	Y
PRKG2	N	Y
RASGEF1B	N	N
HNRNPD	N	Y
HNRPDL	N	N
ENOPH1	N	N
TMEM150C	N	N
SCD5	N	N
SEC31A	N	N
THAP9	N	N
LIN54	N	N
COPS4	N	N
PLAC8	N	Y
COQ2	N	N
HPSE	N	Y
HELQ	N	N
MRPS18C	N	N
FAM175A	N	N
AGPAT9	N	N
NKX6-1	Y	N
CDS1	N	N
WDFY3	N	N
ARHGAP24	N	N
MAPK10	N	Y
PTPN13	N	Y
SLC10A6	N	N
C4orf36	N	N
AFF1	Y	N
KLHL8	N	N
HSD17B13	N	N
HSD17B11	N	N
NUDT9	N	N
SPARCL1	N	Y
DSPP	N	Y
DMP1	N	Y
IBSP	N	Y
MEPE	N	Y
SPP1	N	Y
PKD2	Y	N
ABCG2	N	Y
PPM1K	Y	N
HERC6	N	N
HERC5	N	N
PIGY	N	N
RP11-466G12.4	N	N
HERC3	N	N
NAP1L5	N	N
FAM13A	N	N
TIGD2	N	N
GPRIN3	N	N
SNCA	N	Y
MMRN1	N	N
FAM190A	N	N
RP11-763F8.1	N	N
RP11-9B6.1	N	N
GRID2	Y	N
ATOH1	Y	N
SMARCAD1	Y	N
HPGDS	N	Y
PDLIM5	N	Y
BMPR1B	N	Y
UNC5C	Y	N
PDHA2	N	N
C4orf37	N	N
RAP1GDS1	N	N
TSPAN5	N	N
EIF4E	N	Y
METAP1	N	N
ADH5	N	Y
ADH4	N	N
ADH6	N	N
ADH1A	N	N
ADH1B	N	N
ADH7	N	Y
C4orf17	N	N
RG9MTD2	N	N
MTTP	Y	N
RP11-766F14.2	N	N
DAPP1	N	Y
LAMTOR3	N	N
DNAJB14	N	N
H2AFZ	Y	N
DDIT4L	N	N
EMCN	N	N
PPP3CA	N	Y
AP001816.1	N	N
BANK1	N	Y
SLC39A8	N	N
NFKB1	Y	N
MANBA	N	Y
UBE2D3	N	N
CISD2	N	Y
SLC9B1	N	N
SLC9B2	N	Y
BDH2	N	N
CENPE	Y	N
TACR3	N	Y
CXXC4	N	N
TET2	Y	N
PPA2	N	N
ARHGEF38	N	N
INTS12	N	N
GSTCD	N	N
NPNT	N	Y
TBCK	N	N
AIMP1	N	Y
DKK2	N	Y
PAPSS1	N	N
SGMS2	N	Y
CYP2U1	N	N
HADH	N	Y
LEF1	Y	N
RPL34	N	N
OSTC	N	N
AGXT2L1	N	N
COL25A1	N	N
SEC24B	Y	N
CCDC109B	N	N
CASP6	N	Y
PLA2G12A	N	N
CFI	N	Y
GAR1	N	N
RRH	N	N
LRIT3	N	N
EGF	N	Y
ELOVL6	N	N
ENPEP	N	N
PITX2	Y	N
C4orf32	N	N
AP1AR	N	N
TIFA	N	N
ALPK1	N	N
NEUROG2	Y	N
C4orf21	N	N
LARP7	N	N
ANK2	Y	N
CAMK2D	N	Y
ARSJ	N	N
UGT8	N	Y
NDST4	N	N
TRAM1L1	N	N
NDST3	N	Y
PRSS12	N	Y
METTL14	N	N
SEC24D	N	N
SYNPO2	N	N
MYOZ2	N	Y
RP11-455G16.1	N	N
USP53	N	N
C4orf3	N	N
FABP2	N	Y
AC110373.1	N	N
PDE5A	N	N
MAD2L1	Y	N
PRDM5	N	N
NDNF	N	N
TNIP3	N	N
QRFPR	N	Y
ANXA5	N	Y
TMEM155	N	N
AC079341.1	N	N
EXOSC9	N	N
CCNA2	Y	N
BBS7	N	N
TRPC3	N	Y
KIAA1109	N	N
ADAD1	N	Y
IL2	N	Y
IL21	N	Y
BBS12	N	N
FGF2	N	Y
NUDT6	N	N
SPATA5	N	N
SPRY1	Y	N
ANKRD50	N	N
FAT4	Y	N
INTU	Y	N
SLC25A31	N	Y
HSPA4L	N	Y
PLK4	Y	N
MFSD8	N	N
C4orf29	N	N
LARP1B	N	N
PGRMC2	N	N
PHF17	Y	N
SCLT1	N	N
C4orf33	N	N
RP11-62N21.1	N	N
PCDH10	Y	N
PABPC4L	N	N
PCDH18	N	N
SLC7A11	N	Y
CCRN4L	N	Y
ELF2	N	N
MGARP	N	N
NDUFC1	N	N
NAA15	N	N
RAB33B	N	N
SETD7	Y	N
MGST2	N	N
MAML3	N	N
SCOC	N	N
CLGN	N	Y
RP11-542P2.1	N	N
ELMOD2	N	N
UCP1	N	Y
TBC1D9	N	N
RNF150	N	N
ZNF330	N	N
IL15	N	Y
INPP4B	N	Y
USP38	N	N
GAB1	Y	N
SMARCA5	Y	N
FREM3	N	N
GYPE	N	N
GYPB	N	N
GYPA	N	N
HHIP	Y	N
ANAPC10	N	N
ABCE1	Y	N
OTUD4	N	N
SMAD1	Y	N
MMAA	N	N
C4orf51	N	N
ZNF827	N	N
LSM6	N	N
RP11-6L6.2	N	N
SLC10A7	N	N
POU4F2	N	Y
TTC29	N	N
EDNRA	Y	N
TMEM184C	N	N
PRMT10	N	N
ARHGAP10	N	N
NR3C2	Y	N
DCLK2	N	N
LRBA	N	N
MAB21L2	Y	N
RPS3A	N	N
SH3D19	N	N
PRSS48	N	N
FAM160A1	N	N
PET112	N	N
FBXW7	Y	N
TMEM154	N	N
TIGD4	N	N
ARFIP1	N	N
FHDC1	N	N
TRIM2	N	Y
MND1	N	N
KIAA0922	N	N
TLR2	N	Y
RNF175	N	N
SFRP2	N	Y
DCHS2	N	N
PLRG1	Y	N
FGB	N	N
FGA	N	Y
FGG	Y	N
LRAT	N	Y
RBM46	N	N
NPY2R	N	Y
MAP9	N	N
GUCY1A3	N	Y
GUCY1B3	Y	N
ASIC5	N	N
TDO2	N	N
CTSO	N	N
RP11-171N4.2	N	N
PDGFC	Y	N
GLRB	Y	N
GRIA2	Y	N
FAM198B	N	N
TMEM144	N	N
RXFP1	N	Y
C4orf46	N	N
ETFDH	N	N
PPID	N	N
FNIP2	N	N
C4orf45	N	N
RAPGEF2	Y	N
FSTL5	N	N
NAF1	N	N
NPY1R	N	Y
NPY5R	N	Y
TKTL2	N	N
TMA16	N	N
01-Mar	N	Y
TRIM61	N	N
FAM218A	N	N
TRIM60	N	N
TMEM192	N	N
KLHL2	N	N
MSMO1	N	N
CPE	N	Y
TLL1	Y	N
SPOCK3	N	N
ANXA10	N	N
DDX60	N	N
DDX60L	N	N
PALLD	Y	N
CBR4	N	N
SH3RF1	N	N
NEK1	Y	N
CLCN3	Y	N
C4orf27	N	N
MFAP3L	N	N
AADAT	N	Y
GALNTL6	N	N
GALNT7	N	N
HMGB2	N	Y
SAP30	N	N
SCRG1	N	N
HAND2	Y	N
FBXO8	N	N
CEP44	N	N
HPGD	Y	N
GLRA3	N	Y
ADAM29	N	N
GPM6A	N	Y
WDR17	N	N
SPATA4	N	N
ASB5	N	N
SPCS3	N	N
VEGFC	Y	N
RP11-487E13.1	N	N
NEIL3	N	Y
AGA	N	Y
RP11-389E17.1	N	N
ODZ3	N	Y
DCTD	N	N
WWC2	N	N
CLDN22	N	N
CLDN24	N	N
CDKN2AIP	N	N
ING2	N	Y
RWDD4	N	N
TRAPPC11	N	N
STOX2	N	N
ENPP6	N	N
IRF2	N	Y
CASP3	Y	N
CCDC111	N	N
MLF1IP	N	N
ACSL1	N	N
RP11-701P16.2	N	N
HELT	Y	N
SLC25A4	N	Y
KIAA1430	N	N
SNX25	N	N
LRP2BP	N	N
ANKRD37	N	N
UFSP2	N	N
C4orf47	N	N
CCDC110	N	N
RP11-279O9.4	N	N
PDLIM3	Y	N
SORBS2	N	N
TLR3	N	Y
FAM149A	N	N
CYP4V2	N	N
KLKB1	N	Y
F11	N	Y
MTNR1A	N	Y
FAT1	Y	N
ZFP42	Y	N
TRIML2	N	N
TRIML1	N	N
FRG1	N	N
FRG2	N	N
DUX4L7	N	N
DUX4L6	N	N
DUX4L5	N	N
DUX4L4	N	N
DUX4	N	N
DUX4L3	N	N
DUX4L2	N	N
PLEKHG4B	N	N
LRRC14B	N	N
CCDC127	N	N
SDHA	N	N
PDCD6	N	Y
AHRR	N	Y
C5orf55	N	N
EXOC3	N	N
CTD-2228K2.5	N	N
SLC9A3	N	Y
CEP72	N	N
TPPP	N	N
ZDHHC11	N	N
ZDHHC11B	N	N
BRD9	N	N
TRIP13	Y	N
RP11-661C8.3	N	N
NKD2	N	Y
SLC12A7	N	Y
SLC6A19	N	Y
SLC6A18	N	Y
TERT	N	Y
CLPTM1L	N	N
SLC6A3	N	Y
LPCAT1	Y	N
MRPL36	N	N
NDUFS6	N	N
IRX4	N	Y
IRX2	N	Y
C5orf38	N	N
IRX1	N	N
ADAMTS16	N	N
KIAA0947	N	N
MED10	N	N
UBE2QL1	N	N
NSUN2	N	N
SRD5A1	N	Y
PAPD7	N	N
ADCY2	N	N
C5orf49	N	N
MTRR	N	Y
FASTKD3	N	N
SEMA5A	Y	N
TAS2R1	N	N
FAM173B	N	N
CCT5	N	N
CMBL	N	N
06-Mar	N	N
ROPN1L	N	N
RP11-1C1.5	N	N
ANKRD33B	N	N
DAP	N	N
CTNND2	N	Y
DNAH5	Y	N
TRIO	Y	N
FAM105A	N	N
FAM105B	N	N
ANKH	N	Y
FBXL7	N	N
11-Mar	N	N
ZNF622	N	N
FAM134B	N	N
MYO10	N	N
BASP1	Y	N
CDH18	N	N
CDH12	N	N
PRDM9	N	Y
C5orf17	N	N
CDH10	N	N
CDH9	N	N
CDH6	N	Y
DROSHA	N	N
C5orf22	N	N
PDZD2	N	N
GOLPH3	N	N
MTMR12	N	N
ZFR	Y	N
SUB1	N	N
NPR3	Y	N
AC026703.1	N	N
TARS	N	N
ADAMTS12	N	Y
RXFP3	N	N
SLC45A2	N	Y
AMACR	N	Y
C1QTNF3	N	N
RAI14	N	N
TTC23L	N	N
RAD1	N	N
BRIX1	N	N
DNAJC21	N	N
AGXT2	N	N
PRLR	N	Y
SPEF2	Y	N
IL7R	N	Y
CAPSL	N	N
UGT3A1	N	N
UGT3A2	N	N
LMBRD2	N	N
SKP2	N	Y
NADKD1	N	N
RANBP3L	N	N
SLC1A3	N	Y
NIPBL	Y	N
C5orf42	N	N
NUP155	Y	N
WDR70	N	N
GDNF	Y	N
EGFLAM	N	Y
LIFR	Y	N
AC091435.1	N	N
AC091435.2	N	N
OSMR	N	Y
RICTOR	Y	N
FYB	N	Y
C9	N	N
DAB2	Y	N
PTGER4	Y	N
TTC33	N	N
PRKAA1	N	Y
RPL37	N	N
CARD6	N	N
C7	N	N
HEATR7B2	N	N
C6	N	Y
PLCXD3	N	N
OXCT1	Y	N
C5orf51	N	N
FBXO4	N	N
GHR	Y	N
CCDC152	N	N
SEPP1	Y	N
ANXA2R	N	N
ZNF131	N	N
AC114947.1	N	N
HMGCS1	N	N
CCL28	N	N
C5orf28	N	N
C5orf34	N	N
PAIP1	N	N
NNT	N	Y
FGF10	Y	N
MRPS30	N	N
HCN1	N	Y
EMB	N	N
PARP8	N	N
ISL1	Y	N
CTD-2203A3.1	N	N
ITGA1	N	Y
PELO	Y	N
ITGA2	N	Y
MOCS2	N	N
FST	Y	N
NDUFS4	N	Y
ARL15	N	N
HSPB3	N	N
SNX18	N	N
RP11-45H22.3	N	N
ESM1	N	N
GZMK	N	N
GZMA	N	Y
CDC20B	N	N
GPX8	N	N
RP11-528L24.3	N	N
CCNO	N	N
DHX29	Y	N
SKIV2L2	N	N
PPAP2A	N	Y
SLC38A9	N	N
DDX4	N	Y
IL31RA	N	Y
IL6ST	Y	N
ANKRD55	N	N
CTC-236F12.4	N	N
AC022431.2	N	N
MAP3K1	N	Y
SETD9	N	N
MIER3	N	N
GPBP1	N	N
ACTBL2	N	N
PLK2	Y	N
GAPT	N	Y
CTD-2117L12.1	N	N
RAB3C	N	Y
PDE4D	Y	N
AC109486.1	N	N
DEPDC1B	N	N
ELOVL7	N	N
ERCC8	N	Y
NDUFAF2	N	N
C5orf43	N	N
ZSWIM6	N	N
C5orf64	N	N
KIF2A	Y	N
DIMT1	N	N
IPO11	N	N
LRRC70	N	N
HTR1A	N	Y
RNF180	N	N
RGS7BP	N	Y
FAM159B	N	N
SREK1IP1	N	N
CWC27	N	N
ADAMTS6	N	N
CENPK	N	N
PPWD1	N	N
TRIM23	N	N
C5orf44	N	N
CTC-534A2.2	N	N
SGTB	N	N
NLN	N	N
ERBB2IP	N	Y
SREK1	N	N
MAST4	N	N
CD180	N	Y
RP11-404L6.2	N	N
PIK3R1	Y	N
SLC30A5	N	Y
CCNB1	Y	N
CENPH	N	N
MRPS36	N	N
CDK7	N	N
CCDC125	N	N
TAF9	N	N
RAD17	Y	N
MARVELD2	N	N
OCLN	N	Y
GTF2H2C	N	N
SERF1B	N	N
SMN2	N	N
SERF1A	N	N
SMN1	Y	N
NAIP	N	Y
GTF2H2	N	N
BDP1	N	N
MCCC2	N	N
CARTPT	N	Y
MAP1B	Y	N
MRPS27	N	N
PTCD2	N	Y
ZNF366	N	N
TNPO1	N	N
FCHO2	N	N
TMEM171	N	N
TMEM174	N	N
FOXD1	Y	N
BTF3	Y	N
ANKRA2	N	N
UTP15	N	N
RP11-428C6.1	N	N
ENC1	N	N
HEXB	N	Y
GFM2	N	N
NSA2	N	N
FAM169A	N	N
GCNT4	N	Y
ANKRD31	N	N
HMGCR	Y	N
COL4A3BP	Y	N
POLK	N	Y
ANKDD1B	N	N
POC5	N	N
SV2C	N	N
IQGAP2	N	Y
F2RL2	N	Y
F2R	Y	N
F2RL1	Y	N
S100Z	N	N
CRHBP	N	Y
AGGF1	N	N
ZBED3	N	N
PDE8B	N	N
WDR41	N	N
OTP	Y	N
TBCA	N	N
AP3B1	Y	N
LHFPL2	N	Y
ARSB	N	Y
DMGDH	N	N
BHMT2	N	N
BHMT	N	Y
JMY	N	N
HOMER1	N	Y
PAPD4	N	Y
CMYA5	N	N
MTX3	N	N
THBS4	N	Y
SERINC5	N	N
SPZ1	N	N
ZFYVE16	N	N
FAM151B	N	N
ANKRD34B	N	N
DHFR	N	N
MSH3	N	Y
RASGRF2	N	Y
CKMT2	N	Y
ZCCHC9	N	N
ACOT12	N	N
SSBP2	Y	N
ATG10	N	N
RPS23	N	N
ATP6AP1L	N	N
TMEM167A	N	N
XRCC4	Y	N
VCAN	Y	N
HAPLN1	Y	N
EDIL3	N	Y
COX7C	N	N
AC008394.1	N	N
RASA1	Y	N
CCNH	N	N
TMEM161B	N	N
MEF2C	Y	N
CETN3	N	N
MBLAC2	N	N
AC093510.2	N	N
POLR3G	N	N
LYSMD3	N	N
AC027323.1	N	N
GPR98	N	Y
ARRDC3	N	N
NR2F1	Y	N
FAM172A	N	N
KIAA0825	N	N
ANKRD32	N	Y
MCTP1	N	N
FAM81B	N	N
TTC37	N	N
ARSK	N	N
GPR150	N	N
RFESD	N	N
SPATA9	N	N
RHOBTB3	N	N
GLRX	N	Y
C5orf27	N	N
ELL2	N	N
PCSK1	Y	N
CAST	N	Y
ERAP1	N	Y
CTD-2260A17.2	N	N
ERAP2	N	N
LNPEP	N	Y
CTD-2215E18.1	N	N
LIX1	N	N
RIOK2	N	N
RGMB	Y	N
CHD1	N	N
FAM174A	N	N
ST8SIA4	N	Y
SLCO4C1	N	N
SLCO6A1	N	N
PAM	Y	N
GIN1	N	N
PPIP5K2	N	N
C5orf30	N	N
NUDT12	N	N
EFNA5	Y	N
FBXL17	N	N
FER	N	Y
PJA2	N	N
MAN2A1	N	Y
AC011366.3	N	N
TMEM232	N	N
SLC25A46	N	N
TSLP	N	Y
WDR36	Y	N
CAMK4	N	Y
STARD4	N	Y
NREP	N	Y
EPB41L4A	N	N
APC	Y	N
CTC-554D6.1	N	N
SRP19	N	N
REEP5	N	N
ZRSR1	N	N
DCP2	N	Y
MCC	N	Y
TSSK1B	N	Y
YTHDC2	N	N
KCNN2	Y	N
TRIM36	N	N
PGGT1B	N	Y
CCDC112	N	N
FEM1C	N	N
TMED7-TICAM2	N	N
TICAM2	N	Y
TMED7	N	N
CDO1	N	N
ATG12	N	N
AP3S1	N	N
LVRN	N	N
COMMD10	N	N
SEMA6A	N	Y
DTWD2	N	N
DMXL1	N	N
TNFAIP8	N	N
HSD17B4	Y	N
FAM170A	N	N
PRR16	N	N
FTMT	N	Y
SRFBP1	N	N
LOX	Y	N
ZNF474	N	N
SNCAIP	N	N
SNX2	N	Y
SNX24	N	N
PPIC	N	N
PRDM6	N	N
CEP120	N	N
CSNK1G3	N	N
ZNF608	N	N
GRAMD3	N	N
ALDH7A1	N	Y
PHAX	N	N
C5orf48	N	N
LMNB1	Y	N
03-Mar	N	N
C5orf63	N	N
MEGF10	N	N
PRRC1	N	N
CTXN3	N	N
SLC12A2	Y	N
FBN2	N	Y
SLC27A6	N	N
ISOC1	N	N
ADAMTS19	N	N
KIAA1024L	N	N
CHSY3	N	N
HINT1	N	Y
LYRM7	N	N
CDC42SE2	N	N
RAPGEF6	N	Y
FNIP1	N	N
ACSL6	N	N
IL3	N	Y
CSF2	Y	N
P4HA2	N	N
PDLIM4	N	N
SLC22A4	N	N
SLC22A5	N	Y
C5orf56	N	N
IRF1	N	Y
IL5	N	Y
RAD50	Y	N
IL13	N	Y
IL4	N	Y
KIF3A	Y	N
CCNI2	N	N
08-Sep	N	N
SOWAHA	N	N
SHROOM1	N	N
GDF9	N	Y
UQCRQ	N	N
LEAP2	N	N
AFF4	Y	N
ZCCHC10	N	N
HSPA4	N	Y
FSTL4	N	Y
C5orf15	N	N
VDAC1	Y	N
TCF7	N	Y
SKP1	N	N
PPP2CA	Y	N
CDKL3	N	N
UBE2B	N	Y
CDKN2AIPNL	N	N
PHF15	N	N
SAR1B	N	N
SEC24A	N	N
CAMLG	Y	N
DDX46	N	N
C5orf24	N	N
TXNDC15	N	N
PCBD2	N	N
CATSPER3	N	Y
PITX1	Y	N
CTC-203F4.1	N	N
H2AFY	N	Y
C5orf20	N	N
TIFAB	N	N
NEUROG1	Y	N
CXCL14	Y	N
SLC25A48	N	N
IL9	N	Y
LECT2	N	Y
TGFBI	N	Y
SMAD5	Y	N
TRPC7	N	Y
SPOCK1	N	Y
KLHL3	N	N
HNRNPA0	N	N
MYOT	N	Y
PKD2L2	N	Y
FAM13B	N	N
WNT8A	N	N
NME5	N	N
BRD8	N	N
KIF20A	N	N
CDC23	N	N
GFRA3	N	Y
CDC25C	N	Y
FAM53C	N	N
KDM3B	N	N
REEP2	N	N
EGR1	N	Y
ETF1	N	N
HSPA9	N	N
CTNNA1	Y	N
LRRTM2	N	N
SIL1	Y	N
MATR3	N	N
PAIP2	N	Y
SLC23A1	Y	N
RP11-1280I22.1	N	N
C5orf65	N	N
SPATA24	N	N
