Gene_Name	essential_mouse_knockout	non_essential_mouse_knockout
CLCNKA	N	Y
CLCNKB	N	N
FAM131C	N	N
EPHA2	N	Y
ARHGEF19	N	N
ANO7L1	N	N
C1orf134	N	N
RSG1	N	N
FBXO42	N	N
C1orf144	N	N
SPATA21	N	N
NECAP2	N	N
AL355149.1	N	N
AL137798.1	N	N
MST1P9	N	N
BX284668.1	N	N
CROCC	N	Y
MFAP2	N	Y
ATP13A2	N	N
SDHB	N	N
PADI2	N	N
PADI1	N	N
PADI3	N	N
PADI4	N	Y
RCC2	N	N
ARHGEF10L	N	N
ACTL8	N	N
IGSF21	N	N
KLHDC7A	N	N
PAX7	Y	N
TAS1R2	N	Y
RP13-279N23.2	N	N
ALDH4A1	N	N
IFFO2	N	N
UBR4	Y	N
EMC1	N	N
MRTO4	N	N
AKR7A3	N	N
AKR7A2	N	N
PQLC2	N	N
CAPZB	N	N
MINOS1	N	N
NBL1	N	Y
HTR6	N	Y
TMCO4	N	N
RNF186	N	N
OTUD3	N	N
PLA2G2E	N	N
PLA2G2A	N	N
PLA2G5	N	Y
PLA2G2D	N	N
PLA2G2F	N	N
PLA2G2C	N	N
UBXN10	N	N
VWA5B1	N	N
CAMK2N1	N	N
MUL1	N	N
FAM43B	N	N
CDA	N	N
PINK1	N	Y
DDOST	N	N
KIF17	N	N
SH2D5	N	N
HP1BP3	N	N
EIF4G3	N	Y
ECE1	Y	N
NBPF3	N	N
ALPL	Y	N
RAP1GAP	N	N
USP48	N	N
LDLRAD2	N	N
HSPG2	Y	N
CELA3B	N	N
CELA3A	N	N
CDC42	Y	N
WNT4	Y	N
ZBTB40	N	N
EPHA8	N	Y
C1QA	N	Y
C1QC	N	N
C1QB	N	N
EPHB2	N	Y
LACTBL1	N	N
RP4-805N21.1	N	N
KDM1A	Y	N
LUZP1	Y	N
HTR1D	N	Y
HNRNPR	N	N
ZNF436	N	N
C1orf213	N	N
TCEA3	N	N
ASAP3	N	N
E2F2	N	Y
ID3	N	Y
MDS2	N	N
RPL11	N	N
TCEB3	Y	N
PITHD1	N	N
LYPLA2	N	N
GALE	N	N
HMGCL	Y	N
FUCA1	N	N
CNR2	N	Y
PNRC2	N	Y
SRSF10	Y	N
MYOM3	N	N
IL22RA1	N	N
IL28RA	N	Y
GRHL3	Y	N
C1orf201	N	N
NIPAL3	N	Y
RCAN3	N	N
C1orf130	N	N
SRRM1	N	N
CLIC4	N	Y
RUNX3	Y	N
SYF2	N	N
C1orf63	N	N
RHD	N	N
TMEM50A	N	N
RHCE	N	N
TMEM57	N	N
LDLRAP1	N	Y
MAN1C1	N	N
SEPN1	N	Y
RP1-317E23.6	N	N
FAM54B	N	N
AL020996.1	N	N
C1orf135	N	N
PAQR7	N	N
STMN1	N	Y
PAFAH2	N	Y
EXTL1	N	N
SLC30A2	N	N
TRIM63	N	Y
PDIK1L	N	N
FAM110D	N	N
ZNF593	N	N
CNKSR1	N	N
CATSPER4	N	Y
CEP85	N	N
SH3BGRL3	N	N
UBXN11	N	N
CD52	N	Y
AIM1L	N	N
ZNF683	N	N
LIN28A	Y	N
DHDDS	N	N
HMGN2	N	N
RPS6KA1	N	N
ARID1A	Y	N
PIGV	N	N
ZDHHC18	N	N
SFN	Y	N
GPN2	N	N
GPATCH3	N	N
NUDC	N	N
NR0B2	N	Y
C1orf172	N	N
TRNP1	N	N
FAM46B	N	N
SLC9A1	Y	N
WDTC1	Y	N
TMEM222	N	N
SYTL1	N	Y
MAP3K6	N	Y
