Gene_Name	essential_mouse_knockout	non_essential_mouse_knockout
DMBX1	1	0
KNCN	0	0
MKNK1	0	1
MOB3C	0	0
ATPAF1	0	0
KIAA0494	0	0
ATPAF1-AS1	0	0
CYP4B1	0	0
CYP4A11	0	1
CYP4X1	0	0
CYP4Z1	0	0
CYP4A22	0	0
PDZK1IP1	0	0
TAL1	1	0
STIL	1	0
CMPK1	0	0
FOXE3	0	1
FOXD2	0	1
RP11-543D5.3	0	0
SLC5A9	0	0
SPATA6	0	0
AGBL4	0	0
BEND5	0	0
AL645730.2	0	0
ELAVL4	0	1
DMRTA2	0	0
FAF1	1	0
CDKN2C	0	1
C1orf185	0	0
RNF11	0	0
TTC39A	0	0
EPS15	0	0
OSBPL9	0	0
NRD1	1	0
RAB3B	0	1
TXNDC12	0	0
KTI12	0	0
BTF3L4	0	0
ZFYVE9	0	0
CC2D1B	0	0
ORC1	0	0
PRPF38A	0	0
ZCCHC11	0	0
GPX7	0	0
FAM159A	0	0
SELRC1	0	0
ZYG11B	0	0
ZYG11A	0	0
ECHDC2	0	0
SCP2	0	1
PODN	0	0
SLC1A7	0	0
CPT2	0	0
C1orf123	0	0
MAGOH	1	0
LRP8	0	1
DMRTB1	0	0
GLIS1	0	1
TMEM48	0	0
YIPF1	0	0
DIO1	0	1
HSPB11	0	0
LRRC42	0	0
LDLRAD1	0	0
TMEM59	0	0
TCEANC2	0	0
AL161915.1	0	0
CDCP2	0	0
RP11-446E24.4	0	0
AL357673.1	0	0
CYB5RL	0	0
MRPL37	0	0
SSBP3	1	0
C1orf191	0	0
ACOT11	0	0
FAM151A	0	0
HEATR8	0	0
TTC4	0	0
PARS2	0	0
TTC22	0	0
C1orf177	0	0
DHCR24	1	0
TMEM61	0	0
BSND	1	0
PCSK9	0	1
USP24	0	0
PPAP2B	1	0
PRKAA2	0	1
C1orf168	0	0
C8A	0	0
C8B	0	1
DAB1	1	0
OMA1	0	0
TACSTD2	0	0
MYSM1	0	0
JUN	1	0
FGGY	0	0
HOOK1	0	1
CYP2J2	0	0
C1orf87	0	0
NFIA	1	0
TM2D1	0	0
INADL	0	0
L1TD1	0	1
KANK4	0	0
USP1	1	0
DOCK7	0	1
ANGPTL3	0	1
ATG4C	0	1
FOXD3	1	0
ALG6	0	0
ITGB3BP	0	0
EFCAB7	0	0
DLEU2L	0	0
PGM1	0	0
ROR1	1	0
UBE2U	0	0
CACHD1	0	0
RAVER2	0	0
JAK1	1	0
AK4	0	0
DNAJC6	1	0
LEPR	0	1
LEPROT	0	0
PDE4B	0	1
SGIP1	0	0
AL139147.1	0	0
TCTEX1D1	0	0
INSL5	0	1
WDR78	0	0
MIER1	0	0
SLC35D1	1	0
C1orf141	0	0
IL23R	0	1
IL12RB2	0	1
SERBP1	0	0
GADD45A	0	1
GNG12	0	0
DIRAS3	0	0
WLS	1	0
RPE65	0	1
DEPDC1	0	0
LRRC7	0	1
LRRC40	0	0
SRSF11	0	0
ANKRD13C	0	0
HHLA3	0	0
CTH	0	1
PTGER3	0	1
ZRANB2	0	0
NEGR1	0	0
LRRIQ3	0	0
FPGT	0	0
FPGT-TNNI3K	0	0
LRRC53	0	0
C1orf173	0	0
CRYZ	0	0
TYW3	0	0
LHX8	1	0
SLC44A5	0	0
ACADM	1	0
RABGGTB	0	0
MSH4	0	1
ASB17	0	0
ST6GALNAC3	0	0
ST6GALNAC5	0	0
PIGK	0	0
AK5	0	0
ZZZ3	0	0
USP33	0	0
FAM73A	0	0
NEXN	0	0
FUBP1	0	0
DNAJB4	0	0
GIPC2	0	0
PTGFR	0	1
IFI44L	0	0
IFI44	0	0
ELTD1	0	0
LPHN2	0	0
TTLL7	0	0
PRKACB	0	1
SAMD13	0	0
DNASE2B	0	1
RPF1	0	0
GNG5	0	0
CTBS	0	0
C1orf180	0	0
SSX2IP	0	0
LPAR3	0	1
MCOLN2	0	0
WDR63	0	0
MCOLN3	1	0
SYDE2	0	0
C1orf52	0	0
BCL10	1	0
DDAH1	1	0
CYR61	1	0
ZNHIT6	0	0
COL24A1	0	0
ODF2L	0	0
CLCA2	0	1
CLCA1	0	0
CLCA4	0	0
SH3GLB1	0	1
RP4-604K5.1	0	0
HS2ST1	1	0
LMO4	1	0
PKN2	0	0
GTF2B	0	0
CCBL2	0	0
RBMXL1	0	0
GBP3	0	0
GBP1	0	0
GBP2	0	1
GBP7	0	0
GBP4	0	0
GBP5	0	0
GBP6	0	0
LRRC8B	0	0
LRRC8C	0	0
LRRC8D	0	0
ZNF326	0	0
BARHL2	1	0
ZNF644	0	0
HFM1	0	0
CDC7	1	0
TGFBR3	1	0
BRDT	0	1
EPHX4	0	0
BTBD8	0	0
KIAA1107	0	0
C1orf146	0	0
GLMN	0	0
RPAP2	0	0
