Rank,ID,Name,Interactant count,Score
6606,374868,ATP9B,2,2.24E-06
6607,1395,CRHR2,5,2.24E-06
6608,4185,ADAM11,3,2.24E-06
6609,53905,DUOX1,3,2.23E-06
6610,64090,GAL3ST2,2,2.23E-06
6611,55359,STYK1,2,2.23E-06
6612,2567,GABRG3,2,2.23E-06
6613,441869,ANKRD65,2,2.23E-06
6614,6865,TACR2,4,2.23E-06
6615,6870,TACR3,4,2.23E-06
6616,57210,SLC45A4,2,2.23E-06
6617,285195,SLC9A9,2,2.23E-06
6618,114881,OSBPL7,2,2.22E-06
6619,6557,SLC12A1,3,2.22E-06
6620,8483,CILP,2,2.21E-06
6621,27190,IL17B,2,2.21E-06
6622,6038,RNASE4,2,2.20E-06
6623,58498,MYL7,2,2.20E-06
6624,4062,LY6H,3,2.20E-06
6625,221357,GSTA5,2,2.20E-06
6626,4308,TRPM1,3,2.20E-06
6627,8529,CYP4F2,3,2.20E-06
6628,2689,GH2,3,2.19E-06
6629,778,CACNA1F,2,2.18E-06
6630,786,CACNG1,2,2.18E-06
6631,25943,C20orf194,2,2.18E-06
6632,1557,CYP2C19,2,2.18E-06
6633,56241,SUSD2,2,2.17E-06
6634,7380,UPK3A,2,2.17E-06
6635,275,AMT,2,2.17E-06
6636,162963,ZNF610,3,2.16E-06
6637,10861,SLC26A1,2,2.16E-06
6638,55567,DNAH3,2,2.15E-06
6639,81616,ACSBG2,3,2.15E-06
6640,1521,CTSW,2,2.15E-06
6641,11309,SLCO2B1,2,2.15E-06
6642,828,CAPS,2,2.15E-06
6643,27294,DHDH,2,2.15E-06
6644,80110,ZNF614,3,2.15E-06
6645,3816,KLK1,3,2.14E-06
6646,282618,IFNL1,3,2.14E-06
6647,8993,PGLYRP1,3,2.14E-06
6648,201516,ZSCAN4,3,2.13E-06
6649,9543,IGDCC3,2,2.13E-06
6650,149954,BPIFB4,1,2.13E-06
6651,28234,SLCO1B3,1,2.13E-06
6652,127579,DCST2,1,2.13E-06
6653,79998,ANKRD53,2,2.13E-06
6654,55199,FAM86C1,3,2.13E-06
6655,1306,COL15A1,2,2.13E-06
6656,114659,LRRC37B,2,2.13E-06
6657,6565,SLC15A2,3,2.12E-06
6658,5995,RGR,2,2.11E-06
6659,7539,ZFP37,2,2.11E-06
6660,151295,SLC23A3,2,2.11E-06
6661,1117,CHI3L2,2,2.11E-06
6662,100271715,ARHGEF33,2,2.10E-06
6663,3443,IFNA6,4,2.10E-06
6664,168391,GALNTL5,2,2.10E-06
6665,84436,ZNF528,2,2.10E-06
6666,283600,SLC25A47,2,2.10E-06
6667,65251,ZNF649,3,2.10E-06
6668,55304,SPTLC3,2,2.09E-06
6669,150709,ANKAR,2,2.09E-06
6670,23626,SPO11,2,2.09E-06
6671,83884,SLC25A2,2,2.08E-06
6672,2220,FCN2,3,2.08E-06
6673,152110,NEK10,2,2.08E-06
6674,219285,SAMD9L,2,2.08E-06
6675,10518,CIB2,2,2.07E-06
6676,654231,OCM,2,2.07E-06
6677,157869,SBSPON,3,2.07E-06
6678,51006,SLC35C2,2,2.06E-06
6679,23671,TMEFF2,2,2.06E-06
6680,5143,PDE4C,1,2.06E-06
6681,8938,BAIAP3,2,2.06E-06
6682,91464,ISX,2,2.06E-06
6683,2825,GPR1,3,2.05E-06
6684,342357,ZKSCAN2,2,2.05E-06
6685,9576,SPAG6,3,2.05E-06
6686,6523,SLC5A1,2,2.05E-06
6687,166785,MMAA,2,2.05E-06
6688,168667,BMPER,3,2.04E-06
6689,9489,PGS1,2,2.04E-06
6690,5212,VIT,2,2.04E-06
6691,164781,DAW1,2,2.04E-06
6692,10826,FAXDC2,2,2.03E-06
6693,84071,ARMC2,2,2.03E-06
6694,474344,GIMAP6,2,2.03E-06
6695,11240,PADI2,2,2.03E-06
6696,114788,CSMD3,1,2.03E-06
6697,7561,ZNF14,2,2.02E-06
6698,79192,IRX1,2,2.02E-06
6699,57497,LRFN2,2,2.02E-06
6700,81626,SHCBP1L,2,2.02E-06
6701,7562,ZNF708,2,2.02E-06
6702,1757,SARDH,2,2.01E-06
6703,54823,SWT1,2,2.01E-06
6704,11094,CACFD1,2,2.01E-06
6705,53354,PANK1,2,2.01E-06
6706,51281,ANKMY1,2,2.01E-06
6707,63874,ABHD4,2,2.01E-06
6708,128153,SPATA17,2,2.00E-06
6709,55113,XKR8,2,2.00E-06
6710,80024,SLC8B1,2,2.00E-06
6711,93661,CAPZA3,2,2.00E-06
6712,414918,DENND6B,2,1.99E-06
6713,57535,KIAA1324,2,1.99E-06
6714,345930,ECT2L,1,1.99E-06
6715,84953,MICALCL,2,1.98E-06
6716,8688,KRT37,2,1.98E-06
6717,10321,CRISP3,2,1.98E-06
6718,79838,TMC5,2,1.98E-06
6719,80380,PDCD1LG2,1,1.97E-06
6720,139135,PASD1,2,1.97E-06
6721,126248,WDR88,2,1.97E-06
6722,8549,LGR5,2,1.96E-06
6723,84622,ZNF594,2,1.96E-06
6724,114771,PGLYRP3,2,1.96E-06
6725,3118,HLA-DQA2,3,1.96E-06
6726,79690,GAL3ST4,2,1.96E-06
6727,83715,ESPN,2,1.95E-06
6728,23169,SLC35D1,2,1.95E-06
6729,29801,ZDHHC8,2,1.95E-06
6730,54456,MOV10L1,2,1.95E-06
6731,55784,MCTP2,2,1.95E-06
6732,79689,STEAP4,2,1.94E-06
6733,1811,SLC26A3,2,1.94E-06
6734,9909,DENND4B,2,1.94E-06
6735,136306,SVOPL,2,1.94E-06
6736,5334,PLCL1,1,1.94E-06
6737,55287,TMEM40,2,1.94E-06
6738,127540,HMGB4,3,1.94E-06
6739,83943,IMMP2L,2,1.93E-06
6740,6361,CCL17,4,1.93E-06
6741,84769,MPV17L2,2,1.93E-06
6742,64137,ABCG4,2,1.93E-06
6743,56155,TEX14,2,1.93E-06
6744,29841,GRHL1,3,1.92E-06
6745,57412,AS3MT,2,1.92E-06
6746,126295,ZNF57,2,1.92E-06
6747,7596,ZNF45,3,1.92E-06
6748,10753,CAPN9,2,1.92E-06
6749,6372,CXCL6,3,1.91E-06
6750,92126,DSEL,2,1.91E-06
6751,374860,ANKRD30B,2,1.91E-06
6752,342346,C16orf96,2,1.91E-06
6753,83854,ANGPTL6,2,1.90E-06
6754,259215,LY6G6F,2,1.90E-06
6755,83716,CRISPLD2,2,1.90E-06
6756,8681,JMJD7-PLA2G4B,2,1.90E-06
6757,375775,PNPLA7,2,1.90E-06
6758,3222,HOXC5,3,1.89E-06
6759,130106,CIB4,2,1.89E-06
6760,284111,SLC13A5,2,1.89E-06
6761,388646,GBP7,2,1.88E-06
6762,23531,MMD,2,1.88E-06
6763,57537,SORCS2,2,1.88E-06
6764,9194,SLC16A7,2,1.87E-06
6765,1088,CEACAM8,3,1.87E-06
6766,143879,KBTBD3,2,1.87E-06
6767,347344,ZNF81,2,1.86E-06
6768,387990,TOMM20L,2,1.85E-06
6769,55808,ST6GALNAC1,2,1.85E-06
6770,22801,ITGA11,2,1.85E-06
6771,57834,CYP4F11,2,1.85E-06
6772,10223,GPA33,2,1.85E-06
6773,203859,ANO5,2,1.84E-06
6774,9760,TOX,2,1.84E-06
6775,117248,GALNT15,2,1.84E-06
6776,2692,GHRHR,4,1.84E-06
6777,85004,RERG,2,1.83E-06
6778,255027,MPV17L,2,1.83E-06
6779,9340,GLP2R,2,1.83E-06
6780,83480,PUS3,1,1.83E-06
6781,200162,SPAG17,2,1.83E-06
6782,137994,LETM2,2,1.82E-06
6783,11262,SP140,2,1.82E-06
6784,283130,SLC25A45,2,1.82E-06
6785,131920,TMEM207,2,1.82E-06
6786,6335,SCN9A,2,1.82E-06
6787,200844,C3orf67,2,1.81E-06
6788,7113,TMPRSS2,2,1.81E-06
6789,57194,ATP10A,2,1.81E-06
6790,83401,ELOVL3,2,1.81E-06
6791,1444,CSHL1,2,1.81E-06
6792,55786,ZNF415,2,1.80E-06
6793,84623,KIRREL3,1,1.80E-06
6794,7652,ZNF99,2,1.80E-06
6795,11264,PXMP4,2,1.79E-06
6796,50856,CLEC4A,2,1.79E-06
6797,56163,RNF17,2,1.79E-06
6798,23461,ABCA5,2,1.78E-06
6799,143662,MUC15,2,1.78E-06
6800,147686,ZNF418,2,1.78E-06
6801,10279,PRSS16,2,1.78E-06
6802,83849,SYT15,2,1.78E-06
6803,6364,CCL20,3,1.77E-06
6804,57134,MAN1C1,2,1.77E-06
6805,6947,TCN1,2,1.77E-06
6806,956,ENTPD3,2,1.77E-06
6807,64184,EDDM3B,2,1.77E-06
6808,115196,ZNF554,2,1.76E-06
6809,2013,EMP2,2,1.76E-06
6810,6903,TBCC,2,1.76E-06
6811,115811,IQCD,2,1.75E-06
6812,5024,P2RX3,2,1.75E-06
6813,200539,ANKRD23,2,1.75E-06
6814,4320,MMP11,2,1.75E-06
6815,124411,ZNF720,2,1.75E-06
6816,339761,CYP27C1,2,1.75E-06
6817,65249,ZSWIM4,2,1.74E-06
6818,8789,FBP2,2,1.74E-06
6819,255231,MCOLN2,1,1.74E-06
6820,163051,ZNF709,1,1.74E-06
6821,165530,CLEC4F,2,1.73E-06
6822,84288,EFCAB2,2,1.73E-06
6823,54577,UGT1A7,2,1.73E-06
6824,79191,IRX3,2,1.72E-06
6825,374900,ZNF568,2,1.72E-06
6826,90321,ZNF766,2,1.72E-06
6827,79369,B3GNT4,2,1.72E-06
6828,26579,MYEOV,2,1.72E-06
6829,55331,ACER3,2,1.71E-06
6830,7287,TULP1,2,1.71E-06
6831,374955,SPATA21,2,1.71E-06
6832,22925,PLA2R1,2,1.70E-06
6833,168433,RNF133,2,1.70E-06
6834,11227,GALNT5,2,1.70E-06
6835,1145,CHRNE,2,1.70E-06
6836,338567,KCNK18,2,1.69E-06
6837,162993,ZNF846,2,1.69E-06
6838,7809,BSND,2,1.68E-06
6839,51166,AADAT,2,1.68E-06
6840,57336,ZNF287,2,1.68E-06
6841,1010,CDH12,3,1.68E-06
6842,1592,CYP26A1,2,1.67E-06
6843,199704,ZNF585A,2,1.67E-06
6844,10071,MUC12,2,1.67E-06
