PARD3B,62.75,73.85,94.61,89.65,-,-,-,-,-,-,5,0.0078,5,0.0013,0.0076,6.09 [1.4 - 26.56],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],10,0.0156,50,0.0129,0.5752,1,0.0016,3,0.0007738,0.4574
CEP44,94.17,67.69,69.45,91.44,-,-,-,-,-,-,5,0.0078,5,0.0013,0.0076,6.09 [1.4 - 26.56],2,0.0031,1,0.0002579,0.05450,12.14 [0.63 - 713.46],6,0.0094,12,0.0031,0.0324,0,0,1,0.0002579,1
KIF18B,78.85,63.38,25.18,90.03,-,-,-,-,-,-,5,0.0078,5,0.0013,0.0076,6.09 [1.4 - 26.56],1,0.0016,1,0.0002579,0.26330,6.06 [0.08 - 474.34],6,0.0094,11,0.0028,0.0244,1,0.0016,5,0.0013,0.6004
GLDN,94.92,84.02,57.49,78.36,-,-,-,-,-,-,5,0.0078,5,0.0013,0.0076,6.09 [1.4 - 26.56],0,0,2,0.0005159,1,0 [0 - 32.25],5,0.0078,11,0.0028,0.0642,0,0,3,0.0007738,1
ALDH1L1,40.68,81.31,79.90,97.70,-,-,-,-,-,-,5,0.0078,5,0.0013,0.0076,6.09 [1.4 - 26.56],2,0.0031,6,0.0015,0.31650,2.02 [0.2 - 11.34],11,0.0172,47,0.0121,0.3403,1,0.0016,5,0.0013,0.6004
C6,94.07,92.78,83.88,100.00,-,-,-,-,-,-,6,0.0094,8,0.0021,0.0086,4.57 [1.3 - 15.09],3,0.0047,4,0.001,0.06370,4.56 [0.67 - 27.01],9,0.0141,29,0.0075,0.1005,2,0.0031,3,0.0007738,0.1496
EXOC6,64.85,73.72,69.08,95.95,-,-,-,-,-,-,4,0.0062,3,7.74E-04,0.0098,8.11 [1.37 - 55.53],1,0.0016,1,0.0002579,0.26330,6.06 [0.08 - 474.34],5,0.0078,9,0.0023,0.0374,2,0.0031,5,0.0013,0.2602
TBCK,50.50,18.72,53.59,100.00,-,-,-,-,-,-,4,0.0062,3,7.74E-04,0.0098,8.11 [1.37 - 55.53],3,0.0047,2,0.0005159,0.02270,9.12 [1.04 - 109.4],7,0.0109,18,0.0046,0.075,1,0.0016,4,0.001,0.5343
MAD1L1,4.76,67.91,76.99,90.25,-,-,-,-,-,-,4,0.0062,3,7.74E-04,0.0098,8.11 [1.37 - 55.53],2,0.0031,4,0.001,0.20410,3.03 [0.27 - 21.22],8,0.0125,40,0.0103,0.5384,1,0.0016,4,0.001,0.5343
WDR83,33.20,57.24,67.13,100.00,-,-,-,-,-,-,4,0.0062,3,7.74E-04,0.0098,8.11 [1.37 - 55.53],0,0,4,0.001,1,0 [0 - 9.18],4,0.0062,17,0.0044,0.5262,0,0,4,0.001,1
