,Gene_Name,mantis_ml_proba,mantis_ml_perc
379,KIF3A,0.691767172,97.96520992
380,G3BP1,0.691539775,97.95984108
381,NALCN,0.69147069,97.95447224
382,TPP1,0.691467878,97.9491034
383,HMGN1,0.691306679,97.94373456
384,DLG3,0.691216332,97.93836573
385,CTNND2,0.690932222,97.93299689
386,SAFB,0.690810148,97.92762805
387,OGT,0.690782948,97.92225921
388,EIF2AK3,0.690749223,97.91689037
389,PICK1,0.69074331,97.91152153
390,PDIA3,0.690665727,97.90615269
391,TCTN1,0.690579913,97.90078385
392,XRCC1,0.690495814,97.89541501
393,CRY1,0.690454959,97.89004617
394,KAT6A,0.690422583,97.88467733
395,BBS7,0.690414328,97.87930849
396,SUN1,0.689996246,97.87393965
397,GNL3,0.689953249,97.86857081
398,NLGN2,0.689727711,97.86320198
399,FIG4,0.689682024,97.85783314
400,XPC,0.689612448,97.8524643
401,BIN1,0.689444974,97.84709546
402,RB1CC1,0.689438346,97.84172662
403,SETD2,0.68937111,97.83635778
404,DVL2,0.689178805,97.83098894
405,SGPL1,0.688976271,97.8256201
406,ITGAV,0.688791938,97.82025126
407,DNAJC6,0.688772898,97.81488242
408,WASL,0.688719636,97.80951358
409,COMMD1,0.688566011,97.80414474
410,AP1G1,0.688496071,97.7987759
411,DOCK1,0.688361483,97.79340707
412,APOD,0.688224319,97.78803823
413,DDOST,0.688033714,97.78266939
414,CDC42,0.688001802,97.77730055
415,GFAP,0.68782022,97.77193171
416,UBE3B,0.687678833,97.76656287
417,PPT1,0.687444425,97.76119403
418,SYNJ1,0.68729283,97.75582519
419,NXF1,0.687279832,97.75045635
420,HSPA9,0.687275371,97.74508751
421,SGTA,0.687213844,97.73971867
422,FHL1,0.687161717,97.73434983
423,SMG1,0.687131507,97.72898099
424,ABCA5,0.686827941,97.72361216
425,UBB,0.686604259,97.71824332
426,PREPL,0.686378428,97.71287448
427,PPM1G,0.686180918,97.70750564
428,NUP133,0.686142539,97.7021368
429,PLAA,0.686130768,97.69676796
430,SETD5,0.686092167,97.69139912
431,CAMK2B,0.685828423,97.68603028
432,RPTOR,0.685815518,97.68066144
433,MTA2,0.685192272,97.6752926
434,RAPGEF3,0.684837463,97.66992376
435,RNF103,0.684829491,97.66455492
436,HNRNPK,0.684655736,97.65918608
437,AKT1,0.684606231,97.65381724
438,GAD1,0.684501868,97.64844841
439,VWF,0.68447532,97.64307957
440,NDUFA1,0.684457546,97.63771073
441,CALR,0.684390147,97.63234189
442,SUN2,0.68435108,97.62697305
443,WASF2,0.684112435,97.62160421
444,DMTF1,0.683954628,97.61623537
445,EEF2,0.683281353,97.61086653
446,DIAPH1,0.683256299,97.60549769
447,MAP2K5,0.683250315,97.60012885
448,UQCRFS1,0.683091391,97.59476001
449,PIK3R1,0.683056149,97.58939117
450,PTPN12,0.682902604,97.58402233
451,BASP1,0.682492667,97.5786535
452,COL4A1,0.682491593,97.57328466
453,PEX11B,0.682469171,97.56791582
454,RAB3A,0.682284569,97.56254698
455,CACNA1H,0.682231662,97.55717814
456,TNKS,0.682132217,97.5518093
457,UBR1,0.682101903,97.54644046
458,EPN1,0.681997232,97.54107162
459,TCOF1,0.681975985,97.53570278
460,PARD3,0.681953545,97.53033394
461,TUBB3,0.681898422,97.5249651
462,HIRA,0.681777898,97.51959626
463,ZFP36,0.681725018,97.51422742
464,LGALS1,0.681721245,97.50885858
465,SMAD2,0.681721185,97.50348975
466,ERBB2,0.681698024,97.49812091
467,MICU2,0.681437422,97.49275207
468,TXN2,0.681381513,97.48738323
469,AGL,0.681359225,97.48201439
470,CKB,0.681004975,97.47664555
471,CPNE6,0.680989401,97.47127671
472,NSUN2,0.680940462,97.46590787
473,CUL3,0.680935192,97.46053903
474,GIPC1,0.680835503,97.45517019
475,PRKRA,0.680830616,97.44980135
476,HNRNPAB,0.680699884,97.44443251
477,LRP1,0.680003814,97.43906367
478,DTNA,0.679891732,97.43369484
479,INA,0.679705141,97.428326
480,APC,0.679554418,97.42295716
481,SDHA,0.679500143,97.41758832
482,USE1,0.679456279,97.41221948
483,MKKS,0.679411688,97.40685064
484,ABCB1,0.679067326,97.4014818
485,MCOLN1,0.678726545,97.39611296
486,MATR3,0.678531299,97.39074412
487,LMO2,0.678451025,97.38537528
488,ENPP2,0.678424,97.38000644
489,CAP2,0.678391336,97.3746376
490,NOTCH3,0.678253927,97.36926876
491,HTATSF1,0.678074035,97.36389992
492,B2M,0.678012687,97.35853109
493,STMN1,0.677687206,97.35316225
494,ENO2,0.677659104,97.34779341
495,DBN1,0.677539473,97.34242457
496,JMJD6,0.677476709,97.33705573
497,RPS6KA3,0.677430438,97.33168689
498,HIF1A,0.677384931,97.32631805
499,QKI,0.677281602,97.32094921
500,CIC,0.677120669,97.31558037
501,ADCY3,0.676844527,97.31021153
502,NDEL1,0.6767262,97.30484269
503,ZEB2,0.676709052,97.29947385
504,LIMS2,0.676673401,97.29410501
505,SF1,0.676650907,97.28873618
506,RXRA,0.676644416,97.28336734
507,SF3B1,0.676577001,97.2779985
508,MED1,0.676526832,97.27262966
509,HDAC4,0.676406366,97.26726082
510,SEMA6A,0.67626485,97.26189198
511,RYR2,0.676238003,97.25652314
512,CADPS,0.676181616,97.2511543
513,EHMT2,0.676108787,97.24578546
514,GRN,0.675826389,97.24041662
515,CTSF,0.675384127,97.23504778
516,UBA6,0.675326719,97.22967894
517,DDAH1,0.675056991,97.2243101
518,CTNNA2,0.674935533,97.21894126
519,NBN,0.674742646,97.21357243
520,EPHB2,0.674518855,97.20820359
