Gene_Name	GOA_Kidney_Research_Priority
FBP1	Yes
FBXW11	Yes
FBXW12	Yes
FBXW20	Yes
FERMT1	Yes
FEZ2	Yes
FGD1	Yes
FGD3	Yes
FGD6	Yes
FGF1	Yes
FGF2	Yes
FGF5	Yes
FGF7	Yes
FGFBP1	Yes
FGF	Yes
FGFR2	Yes
FGFR3	Yes
FHIT	Yes
FHL1	Yes
FIGNL1	Yes
FIS1	Yes
FITM2	Yes
FLCN	Yes
FLNA	Yes
FLNB	Yes
FLOT1	Yes
FLT1	Yes
FLT4	Yes
FLYWCH2	Yes
FMN1	Yes
FMN2	Yes
FMOD	Yes
FN1	Yes
FNIP1	Yes
FNIP2	Yes
FOLR1	Yes
FOXB1	Yes
FOXB1A	Yes
FOXC1	Yes
FOXC2	Yes
FOXD1	Yes
FOXD2	Yes
FOXG1	Yes
FOXJ2	Yes
FOXN3	Yes
FOXO1	Yes
FPGS	Yes
FRAS1	Yes
FREM1	Yes
FRK	Yes
FUS	Yes
FUT3	Yes
FUT4	Yes
FUT6	Yes
FXYD2	Yes
FYB1	Yes
FYN	Yes
FYTTD1	Yes
FZD1	Yes
FZD10	Yes
FZD2	Yes
FZD3	Yes
FZD4	Yes
FZD5	Yes
FZD7	Yes
FZD8	Yes
G0S2	Yes
G1N7F0	Yes
G1NYW4	Yes
G1PCM6	Yes
G1Q748	Yes
G3PB57	Yes
G3QGR5	Yes
G3QW36	Yes
G3REU3	Yes
G3RVJ8	Yes
G6PC	Yes
G9KIA0	Yes
GADD45A	Yes
GADD45B	Yes
GAL3ST1	Yes
GALNT10	Yes
GARS	Yes
GAS1	Yes
GAS2L1	Yes
GAS6	Yes
GATA3	Yes
GATA	Yes
GBP1	Yes
GBP2	Yes
GCKR	Yes
GCNT1	Yes
GCNT3	Yes
GDF1	Yes
GDF11	Yes
GDNF	Yes
GEM	Yes
GFRA1	Yes
GFRA2	Yes
GGCT	Yes
GGT	Yes
GGT1	Yes
GGT2	Yes
GGT3P	Yes
GGT5	Yes
GGT6	Yes
GGT7	Yes
GGTA1P	Yes
GGTLC1	Yes
GGTLC2	Yes
GGTLC3	Yes
GHR	Yes
GIT1	Yes
GJA1	Yes
GJD3	Yes
GK	Yes
GLA	Yes
GLI2	Yes
GLIPR1	Yes
GLIS2	Yes
GLS	Yes
GM136	Yes
GM21093	Yes
GMDS	Yes
GNA12	Yes
GNA13	Yes
GNAL	Yes
GNAQ	Yes
GNAS	Yes
GNG12	Yes
GNPAT	Yes
GOLGA4	Yes
GOLGA8A	Yes
GOLGA8B	Yes
GOLGA8F	Yes
GOPC	Yes
GPAT3	Yes
GPC3	Yes
GPC4	Yes
GPD1	Yes
GPLD1	Yes
GPNMB	Yes
GPR137B	Yes
GPR176	Yes
GPX2	Yes
GRB2	Yes
GREM1	Yes
GRHPR	Yes
GRIK2	Yes
GRIP1	Yes
GSDMC2	Yes
GSDMC4	Yes
GSK3B	Yes
GSN	Yes
GSTK1	Yes
GSTM1	Yes
GSTO2	Yes
GSTP1	Yes
GSTT1	Yes
GTPBP4	Yes
GW7_00302	Yes
GW7_02116	Yes
GW7_02754	Yes
GW7_10547	Yes
GW7_12426	Yes
GW7_13156	Yes
GW7_13762	Yes
GW7_15350	Yes
GW7_16408	Yes
GW7_18750	Yes
GW7_19948	Yes
H0Z9N8	Yes
H3F3A	Yes
H671_4G13216	Yes
H671_8G19468	Yes
HACE1	Yes
HACL1	Yes
HAG2	Yes
HAO1	Yes
HAO2	Yes
HBB	Yes
HCK	Yes
HDC	Yes
HERPUD1	Yes
HES1	Yes
HES5	Yes
HEY1	Yes
HEY2	Yes
HEYL	Yes
HGF	Yes
HHAT	Yes
HINFP	Yes
HIPK2	Yes
HIST1H4A	Yes
HLA-DRB1	Yes
HMGA2	Yes
HMGB1	Yes
HMGB2	Yes
HMGCL	Yes
HMGCR	Yes
HMGCS1	Yes
HMGCS2	Yes
HMGI-C	Yes
HMGN4	Yes
HMGXB3	Yes
HNF1A	Yes
HNF1B	Yes
HNF4A	Yes
HNMT	Yes
HNRNPDL	Yes
HOGA1	Yes
HOOK1	Yes
HOXA10	Yes
HOXA11	Yes
HOXB6	Yes
HOXC11	Yes
HOXD11	Yes
HOXD4	Yes
HPD	Yes
HPGD	Yes
HPN	Yes
HRAS	Yes
HRG	Yes
HRH1	Yes
HRH2	Yes
HS2ST1	Yes
HS3ST1	Yes
HS3ST3A1	Yes
HSD11B2	Yes
HSD17B4	Yes
HSD17B5	Yes
HSDL2	Yes
HSPA1A	Yes
HSPA2	Yes
HSPA8	Yes
HSPB1	Yes
HSPBAP1	Yes
HTR2A	Yes
HTR2B	Yes
HYAL1	Yes
HYAL2	Yes
I79_000208	Yes
I79_001989	Yes
I79_003794	Yes
I79_005440	Yes
I79_008734	Yes
I79_009498	Yes
I79_012260	Yes
I79_018318	Yes
I79_019650	Yes
I79_024790	Yes
ICAM1	Yes
ICAM3	Yes
ICAM4	Yes
ID1	Yes
ID2	Yes
ID2-A	Yes
ID2B	Yes
ID2-B	Yes
ID3	Yes
ID4	Yes
IDE	Yes
IDH1	Yes
IDI1	Yes
IDI2	Yes
IFITM1	Yes
IFNG	Yes
IFRD1	Yes
IFT80	Yes
IFT88	Yes
IGF1R	Yes
IGFALS	Yes
IGFBP1	Yes
IGFBP2	Yes
IGFBP3	Yes
IGFBP5	Yes
IL10	Yes
IL12B	Yes
IL13	Yes
IL13RA1	Yes
IL13RA2	Yes
IL18	Yes
IL1A	Yes
IL2	Yes
IL32	Yes
IL4	Yes
IL4R	Yes
IL6	Yes
ILK	Yes
INF2	Yes
ING4	Yes
INHBA	Yes
INHBB	Yes
INPP4B	Yes
INPP5K	Yes
INSIG1	Yes
INSRR	Yes
INVS	Yes
IQCB1	Yes
IQCM	Yes
IQGAP1	Yes
IQGAP2	Yes
IQGAP3	Yes
IRS1	Yes
IRX1	Yes
IRX1-A	Yes
IRX2	Yes
IRX3	Yes
ISOC1	Yes
ITGA1	Yes
ITGA11	Yes
ITGA2	Yes
ITGA2B	Yes
ITGA3	Yes
ITGA5	Yes
ITGA6	Yes
ITGA7	Yes
ITGA8	Yes
ITGA9	Yes
ITGAD	Yes
ITGAE	Yes
ITGAL	Yes
ITGAM	Yes
ITGAV	Yes
ITGAX	Yes
ITGB1	Yes
ITGB2	Yes
ITGB3	Yes
ITGB4	Yes
ITGB5	Yes
ITGB6	Yes
ITGB7	Yes
ITPKA	Yes
ITPKB	Yes
ITPR1	Yes
ITPR2	Yes
ITPR3	Yes
ITSN1	Yes
JAG1	Yes
JAM2	Yes
JAM3	Yes
JAML	Yes
JARID2	Yes
JUND	Yes
JUP	Yes
K7G9U7	Yes
KANK2	Yes
KCNIP3	Yes
KCNJ1	Yes
KDELC2	Yes
KDM8	Yes
KDR	Yes
KHDRBS3	Yes
KIAA1191	Yes
KIF3C	Yes
KIF5B	Yes
KIRREL1	Yes
KIRREL2	Yes
KIRREL3	Yes
KITLG	Yes
KL	Yes
KLF10	Yes
KLF3	Yes
KLF9	Yes
KLHL21	Yes
KLHL3	Yes
KLHL4	Yes
KLHL5	Yes
KLK1	Yes
KLK15	Yes
KNG1	Yes
KRAS	Yes
KRBA1	Yes
KRT17	Yes
KRT34	Yes
KRT7	Yes
L3MBTL1	Yes
LAMA1	Yes
LAMA3	Yes
LAMA5	Yes
LAMB1	Yes
LAMB2	Yes
LAMC1	Yes
LARGE1	Yes
LAYN	Yes
LCN2	Yes
LEF1	Yes
LEP	Yes
LEPR	Yes
LGR4	Yes
LHX1	Yes
LHX1A	Yes
LIF	Yes
LILRB1	Yes
LIMK1	Yes
LIMK2	Yes
LIMS1	Yes
LIMS2	Yes
LIRA	Yes
LIX1L	Yes
LMX1B	Yes
LOC100170549	Yes
LOC100302540	Yes
LOC100400251	Yes
LOC100415219	Yes
LOC100424768	Yes
LOC100469295	Yes
LOC100555534	Yes
LOC100595821	Yes
LOC100894903	Yes
LOC100912836	Yes
LOC367515	Yes
LOC477273	Yes
LOC481602	Yes
LOC499235	Yes
LOC532403	Yes
LOC711440	Yes
LOC718349	Yes
LOC72520	Yes
LONP2	Yes
LONRF1	Yes
LPP	Yes
LRMP	Yes
LRRC34	Yes
LRRC7	Yes
LRRFIP1	Yes
LRSAM1	Yes
LTBP1	Yes
LTF	Yes
LY75	Yes
M1AP	Yes
MACROD2	Yes
MAFA-DRB	Yes
MAGED1	Yes
MAGI1	Yes
MAGI2	Yes
MAL	Yes
MALL	Yes
MAP2K1	Yes
MAP2K2	Yes
MAP2K3OS	Yes
MAP3K10	Yes
MAP4K4	Yes
MAPK1	Yes
MAPK13	Yes
MAPK3	Yes
MAPK7	Yes
MARF1	Yes
MARVELD2	Yes
MATN2	Yes
MAVS	Yes
MC5R	Yes
MCL1	Yes
MCM4	Yes
MDK	Yes
MDM2	Yes
MDP	Yes
ME3	Yes
MECOM	Yes
MED1	Yes
MEF2A	Yes
MEF2C	Yes
MEG3	Yes
MET	Yes
METTL7B	Yes
MFAP4	Yes
MFF	Yes
MFSD4B	Yes
MFSD4B1	Yes
MGST1	Yes
MHC-DRB	Yes
MIOX	Yes
MIR199A2	Yes
MITF	Yes
MKIAA0543	Yes
MKKS	Yes
MLC1	Yes
MLLT11	Yes
MLLT6	Yes
MLXIP	Yes
MLYCD	Yes
MME	Yes
MMP1	Yes
MMP2	Yes
MMP7	Yes
MMRN1	Yes
MORC3	Yes
MPC2	Yes
MPV17	Yes
MPV17L	Yes
MPZL2	Yes
MRAS	Yes
MRNIP	Yes
MRPL9	Yes
MRPS30	Yes
MSN	Yes
MT1	Yes
MT1A	Yes
MT1B	Yes
MT1C	Yes
MT1D	Yes
MT1E	Yes
MT1F	Yes
MT1G	Yes
MT1H	Yes
MT1L	Yes
MT1M	Yes
MT1X	Yes
MT2	Yes
MT2A	Yes
MT2B	Yes
MT3	Yes
MTDH	Yes
MTHFD2	Yes
MTNC	Yes
MTSS1	Yes
MTSS1L	Yes
MUC1	Yes
MUL1	Yes
MUP1	Yes
MUP11	Yes
MUP2	Yes
MUP20	Yes
MUP3	Yes
MUP4	Yes
MUP5	Yes
MUP6	Yes
MVD	Yes
MVK	Yes
MXD3	Yes
MYBL1	Yes
MYC	Yes
MYC-A	Yes
MYH10	Yes
MYH14	Yes
MYH9	Yes
MYL10	Yes
MYL12A	Yes
MYL12B	Yes
MYL6	Yes
MYL7	Yes
MYL9	Yes
MYLK	Yes
MYLK2	Yes
MYLK3	Yes
MYLPF	Yes
MYO10	Yes
MYO15B	Yes
MYO1B	Yes
NAA30	Yes
NAB1	Yes
NAB2	Yes
NAIP	Yes
NAIP1	Yes
NAMPT	Yes
NAPG	Yes
NAPSA	Yes
NAT8	Yes
NBEA	Yes
NCK1	Yes
NCK2	Yes
NCKAP1	Yes
NCKAP1L	Yes
NCOA3	Yes
NEBL	Yes
NEK4	Yes
NEK7	Yes
NEWGENE_6497122	Yes
NF1	Yes
NFIB	Yes
NKG7	Yes
NKX3-1	Yes
NLGN4Y	Yes
NLRC3	Yes
NMT2	Yes
NOG	Yes
NOL3	Yes
NOS1	Yes
NOS2	Yes
NOS3	Yes
NOTCH1	Yes
NOTCH2	Yes
NOTCH4	Yes
NPAS3	Yes
NPHP1	Yes
NPHP3	Yes
NPHP4	Yes
NPHS1	Yes
NPHS2	Yes
NPNT	Yes
NPPB	Yes
NPR3	Yes
NPTX2	Yes
NR3C1	Yes
NR3C2	Yes
NRAS	Yes
NRBP2	Yes
NREP	Yes
NRP1	Yes
NRSN2	Yes
NSG2	Yes
NUAK1	Yes
NUCB1	Yes
NUDT12	Yes
NUDT19	Yes
NUDT7	Yes
O00172	Yes
O00420	Yes
O13111	Yes
O14597	Yes
O14741	Yes
O15094	Yes
O18842	Yes
O43601	Yes
O43832	Yes
O57484	Yes
O60352	Yes
O88684	Yes
O93346	Yes
OAS1	Yes
OCLN	Yes
OCRL	Yes
OGG1	Yes
OIP5	Yes
OK/SW-CL.68	Yes
OLFML3	Yes
OPN	Yes
OR10H4	Yes
OR12A07	Yes
OR2L8	Yes
OR2S2	Yes
OR6A2	Yes
ORM1	Yes
OSR1	Yes
OSR2	Yes
OSR2-A	Yes
OXTR	Yes
P02761	Yes
P02800	Yes
P02801	Yes
