,Gene_Name,mantis_ml_proba,mantis_ml_perc
120,SMAD2,0.800235542,99.35573929
121,ATMIN,0.799955431,99.35037045
122,CACNA1B,0.799954024,99.34500161
123,DNM1L,0.799818161,99.33963277
124,CDK5RAP2,0.798871903,99.33426393
125,KMT2A,0.798318645,99.32889509
126,ATP2A2,0.798251901,99.32352625
127,DNMT1,0.798098856,99.31815741
128,BSG,0.798000075,99.31278858
129,NDUFV2,0.797808316,99.30741974
130,GPT2,0.797708174,99.3020509
131,SLC12A5,0.797010033,99.29668206
132,VPS41,0.796811147,99.29131322
133,BCOR,0.796109872,99.28594438
134,RERE,0.795902073,99.28057554
135,GRIN2B,0.795844231,99.2752067
136,MARK3,0.795350584,99.26983786
137,USF1,0.79534187,99.26446902
138,SPTBN1,0.795106112,99.25910018
139,TBCE,0.795028692,99.25373134
140,AHI1,0.79462177,99.2483625
141,RBPJ,0.794587772,99.24299366
142,PAK3,0.794048356,99.23762483
143,PEX10,0.793331079,99.23225599
144,C9orf72,0.793031454,99.22688715
145,KIDINS220,0.793019401,99.22151831
146,MID1,0.792998994,99.21614947
147,ATP6V1D,0.792675946,99.21078063
148,PPP3CA,0.792648755,99.20541179
149,NEK1,0.79250698,99.20004295
150,GTF2I,0.792457892,99.19467411
151,RGP1,0.792319292,99.18930527
152,PSMC4,0.792161193,99.18393643
153,CA14,0.791524492,99.17856759
154,PPIP5K2,0.791189128,99.17319875
155,SZT2,0.790667141,99.16782992
156,GNAZ,0.790655652,99.16246108
157,BRSK1,0.790566309,99.15709224
158,CA2,0.790332155,99.1517234
159,PEX1,0.789940176,99.14635456
160,NTRK2,0.789753118,99.14098572
161,ATP6V1C1,0.789598824,99.13561688
162,TDG,0.789036291,99.13024804
163,NCAPH2,0.788974729,99.1248792
164,LAMB1,0.788899343,99.11951036
165,NF1,0.788837885,99.11414152
166,ARFGEF1,0.78862101,99.10877268
167,HUS1,0.78861149,99.10340384
168,PIK3CA,0.788538303,99.098035
169,TSC2,0.788421701,99.09266617
170,HSPA5,0.788364321,99.08729733
171,SH3GL2,0.788108432,99.08192849
172,GLA,0.787970147,99.07655965
173,NBN,0.787851141,99.07119081
174,SCN2A,0.787030612,99.06582197
175,SKI,0.787017932,99.06045313
176,HTRA2,0.786735619,99.05508429
177,LIPA,0.786496037,99.04971545
178,PRKACA,0.786347777,99.04434661
179,PEX11B,0.785484056,99.03897777
180,PRKACB,0.785373888,99.03360893
181,DYRK1A,0.785339445,99.02824009
182,AARS,0.78520556,99.02287126
183,NCKAP1,0.785078582,99.01750242
184,SLC9A6,0.785011916,99.01213358
185,NBAS,0.784958516,99.00676474
186,MTMR2,0.784796098,99.0013959
187,EDIL3,0.78473529,98.99602706
188,PEX2,0.784660076,98.99065822
189,MAP2K1,0.784276599,98.98528938
190,GPM6B,0.784140705,98.97992054
191,ASXL1,0.784109122,98.9745517
192,EGR1,0.784006423,98.96918286
193,MACF1,0.783687373,98.96381402
194,NDUFB8,0.783686455,98.95844518
195,KDM6A,0.783122287,98.95307634
196,AMPH,0.782847753,98.94770751
197,SCN8A,0.782620136,98.94233867
198,BCKDK,0.782533234,98.93696983
199,CYFIP2,0.782496927,98.93160099
200,AKT3,0.782289143,98.92623215
201,BCAT2,0.781874897,98.92086331
202,PHGDH,0.781864294,98.91549447
203,AKT1,0.781764684,98.91012563
204,DNAJC17,0.781752945,98.90475679
205,AGA,0.781636899,98.89938795
206,KIF2A,0.78135976,98.89401911
207,MAP2,0.781313493,98.88865027
208,THRA,0.78109731,98.88328143
209,ARHGAP35,0.780926116,98.8779126
210,CLIP3,0.78075906,98.87254376
211,CNP,0.780443633,98.86717492
212,COQ7,0.780314479,98.86180608
213,GOT1,0.780283261,98.85643724
214,RARB,0.780214491,98.8510684
215,STAT3,0.780186304,98.84569956
216,SETD2,0.780043515,98.84033072
217,PSEN2,0.779928944,98.83496188
218,EEF1A2,0.779747854,98.82959304
219,PRMT5,0.779503126,98.8242242
220,CHD8,0.779422738,98.81885536
221,GLDC,0.779416291,98.81348652
222,KARS,0.779363968,98.80811768
223,CD55,0.779203475,98.80274885
224,TCTN2,0.778247759,98.79738001
225,PAK1,0.778067139,98.79201117
226,NIPBL,0.777955725,98.78664233
227,UBA6,0.77748476,98.78127349
228,ARID1A,0.777345305,98.77590465
229,GLRB,0.777237584,98.77053581
230,ZEB2,0.776748213,98.76516697
231,PPM1F,0.776505294,98.75979813
232,PSMC1,0.776272098,98.75442929
233,SDCCAG8,0.775749654,98.74906045
234,ACTL6B,0.775450077,98.74369161
235,ZMYND11,0.774547434,98.73832277
236,UQCRFS1,0.774260198,98.73295394
237,ARC,0.773819622,98.7275851
238,DBT,0.773690347,98.72221626
239,AGT,0.773687193,98.71684742
240,ALDOA,0.773536673,98.71147858
241,TCTN3,0.773502163,98.70610974
242,RANBP2,0.773233752,98.7007409
