"Rank","GeneSymbol","GeneId","GO: Molecular Function Score","GO: Molecular Function pValue","GO: Biological Process Score","GO: Biological Process pValue","GO: Cellular Component Score","GO: Cellular Component pValue","Human Phenotype Score","Human Phenotype pValue","Mouse Phenotype Score","Mouse Phenotype pValue","Pathway Score","Pathway pValue","Pubmed Score","Pubmed pValue","Interaction Score","Interaction pValue","Gene Family Score","Gene Family pValue","Coexpression Score","Coexpression pValue","Coexpression Atlas Score","Coexpression Atlas pValue","Disease Score","Disease pValue","Average Score","Overall pValue"
2804,"HNF4G",3174,0.9154830374991493,0.09198295894655306,0.9999997141502567,0.11173508907823393,0.8752479661401753,0.13168086754453912,-1.0,0.0,0.9990939406765442,0.0714562354763749,0.6386886714368519,0.03388845855925639,0.955308982509222,0.17041053446940357,0.7452597735731877,0.09914794732765299,0.0,0.5094887683965917,0.9777463082330096,0.1647947327652982,0.0,0.6016653756777691,0.1989613486565702,0.1653756777691712,0.7332125385660407,0.028598106299363546
2805,"SVIL",6840,0.2646779218521017,0.20274980635166537,0.9993884048326455,0.1516266460108443,0.9987433085432466,0.044151820294345466,-1.0,0.0,0.47229304663563254,0.13090627420604184,0.0,0.5426026336173508,0.9553109160247757,0.17041053446940357,0.9999519314851689,0.014910921766072812,0.0,0.5094887683965917,0.9999999883272896,0.05790085205267235,0.5205981563079749,0.10824941905499613,0.0,0.5921766072811774,0.6313577824822842,0.028611100061629924
2806,"IL11RA",3590,0.48190869493946126,0.17718822618125485,0.9999861932041039,0.12412858249419055,0.8638097401605156,0.13613477924089853,0.9999999917191912,0.03524399690162665,0.9999047127009304,0.0609992254066615,0.0,0.5426026336173508,0.9368864914843003,0.1775755228505035,0.0,0.5906274206041828,0.0,0.5094887683965917,0.9999999965490904,0.05790085205267235,0.5244008948471961,0.10728117738187451,0.8085095054487957,0.09817970565453137,0.6889811523251544,0.028618637867474428
2807,"COCH",1690,0.07931941857475164,0.20487993803253293,0.9999996742368693,0.11173508907823393,0.09498690605345288,0.24709527498063516,0.8889722654362766,0.056545313710302095,0.8463867425736599,0.11735089078233928,0.0,0.5426026336173508,0.9552960671365446,0.1706041828040279,0.3513785695517782,0.15007745933384972,0.0,0.5094887683965917,0.9999998901424475,0.05886909372579396,0.7616157262570643,0.06332300542215337,0.6636960129738232,0.1150271107668474,0.6454366042468583,0.02862625820100373
2808,"IFNB1",3456,0.8393388952111793,0.1150271107668474,0.9999999999999996,0.11057319907048799,0.09894538821719888,0.24709527498063516,-1.0,0.0,0.9999753327933769,0.056738962044926414,0.75459681067822,0.027304415182029435,0.9516667957688767,0.17118512780790085,0.0,0.5906274206041828,0.0,0.5094887683965917,0.9384083002724346,0.18280402788536018,0.0,0.6016653756777691,1.0,0.016847405112316034,0.6494047098889548,0.02863993631749462
2809,"DNAJC1",64215,0.8398568797714219,0.11425251742835012,0.9999999981832949,0.11057319907048799,0.9873030631041191,0.07745933384972889,-1.0,0.0,-1.0,0.0,0.0,0.5426026336173508,0.9342851964664987,0.17873741285824943,0.6683135312530084,0.11347792408985283,0.0,0.5094887683965917,0.9999999899602668,0.05790085205267235,0.9342906372478066,0.033113865220759105,0.007970151022505145,0.18435321456235476,0.6812737520089336,0.028682262574534656
2810,"SLC66A1",54896,0.9121629443487368,0.09256390395042603,0.999995574993898,0.1175445391169636,0.9925774282175822,0.07184353214562354,-1.0,0.0,-1.0,0.0,0.02680598598429628,0.08384972889233153,0.7930136279849055,0.20274980635166537,0.01646703980965359,0.17544539116963595,-1.0,0.0,0.9986234528219504,0.12664601084430674,0.26416763955272154,0.15356312935708752,0.01287973402386993,0.1820294345468629,0.6478115959384964,0.028696067640468725
2811,"HS3ST1",9957,0.4206518650073381,0.1855151045701007,0.9805703935773418,0.18532145623547638,0.7260264621593715,0.17563903950426027,-1.0,0.0,0.9061758386784249,0.11115414407436096,0.0784800540222774,0.08055770720371805,0.9491566684676856,0.17195972114639815,0.12733925922658718,0.17137877614252517,0.0,0.5094887683965917,0.9999967474833503,0.0704879938032533,0.7756968282867952,0.061386522075910145,0.5427506241775925,0.1332300542215337,0.7031372954892247,0.02870320194509912
2812,"CXCL14",9547,0.31861279907853035,0.19732765298218435,0.9999934101839558,0.11909372579395817,0.5714951563980952,0.19655305964368708,-1.0,0.0,0.9999999745479479,0.04512006196746708,0.0,0.5426026336173508,0.9552093141921766,0.1707978311386522,0.07599452683586541,0.17486444616576297,0.0,0.5094887683965917,0.9999990865577152,0.06409759876065066,0.7390126866413013,0.06642137877614253,0.9659523169256691,0.06390395042602634,0.6784908314308731,0.028706035816033926
2813,"MSC",9242,0.9159397841127774,0.09198295894655306,0.9999999148971775,0.11154144074360961,0.7787100864366565,0.17041053446940357,-1.0,0.0,0.9994085887389597,0.06913245546088304,-1.0,0.0,0.9513691115815011,0.17118512780790085,0.0,0.5906274206041828,0.0,0.5094887683965917,0.9997845224115274,0.10708752904725019,0.1699219810122938,0.17370255615801705,0.9999999201992584,0.016847405112316034,0.7291396918565104,0.028738684923789615
2814,"TEX11",56159,7.783778440727634E-4,0.23063516653756777,0.9999995392385461,0.11250968241673122,0.8696988596624958,0.13400464756003097,0.9967835783528234,0.0470565453137103,0.9417929253959237,0.1036018590240124,-1.0,0.0,0.9545749726062175,0.17118512780790085,0.9834229831993266,0.04318357862122386,-1.0,0.0,0.7059648874332075,0.21030209140201395,0.43773910022567863,0.12509682416731216,0.0,0.5921766072811774,0.7423689755334096,0.028743703406891474
2815,"KDM3A",55818,0.9162342045318679,0.09178931061192874,1.0,0.11057319907048799,0.7181314353753624,0.1785437645236251,-1.0,0.0,0.9999998561812055,0.0453137103020914,0.0,0.5426026336173508,0.9553103703067146,0.17041053446940357,0.7042082353838759,0.10747482571649884,0.0,0.5094887683965917,0.999999658704362,0.06003098373353989,6.27888592091497E-4,0.20352439969016267,0.8421713551091011,0.09275755228505035,0.6935198940653133,0.02876366285487153
2816,"TPD52L1",7164,0.8589728031872687,0.10844306738962045,0.9999999998176171,0.11057319907048799,0.8713717175856202,0.13303640588690938,-1.0,0.0,-1.0,0.0,0.0,0.5426026336173508,0.9504605502501556,0.17137877614252517,0.9661904533708272,0.052672347017815646,-1.0,0.0,0.9999999869963601,0.05790085205267235,0.5505403685894745,0.1028272656855151,0.03702312004916461,0.17873741285824943,0.7573234861270918,0.028766823917699802
2817,"ARHGAP44",9912,0.704750424872688,0.14659178931061193,0.9999999999999991,0.11057319907048799,0.9999920088276467,0.015491866769945779,-1.0,0.0,0.9999913716280503,0.053640588690937255,0.0,0.5426026336173508,0.9365880099598417,0.1775755228505035,0.8472877466935608,0.08288148721920992,0.0,0.5094887683965917,0.9283914675975463,0.18493415956622772,0.02857151889585807,0.19345468628969792,-1.0,0.0,0.691966144258834,0.028783618956565116
2818,"MFSD10",10227,0.7613053622774169,0.13787761425251743,0.9953289080759834,0.17370255615801705,0.9994056121849402,0.03621223857474826,-1.0,0.0,0.3597926345288271,0.13400464756003097,-1.0,0.0,0.8994615262519652,0.18667699457784662,0.553007872881723,0.12858249419054996,-1.0,0.0,0.9999969588121482,0.07010069713400464,0.0808603130514215,0.18609604957397366,-1.0,0.0,0.8133106598831497,0.028794358324968128
2819,"ASF1B",55723,0.24183752227202523,0.2039116963594113,0.9999645268249648,0.13051897753679317,0.8016799144770524,0.16498838109992253,-1.0,0.0,0.05472462910658633,0.1367157242447715,-1.0,0.0,0.9548144591509394,0.17118512780790085,0.6232619713645151,0.1192873741285825,-1.0,0.0,0.9999999797254001,0.05790085205267235,0.7060091839680025,0.07358636715724244,0.2581062516763278,0.16014717273431447,0.7533567086691854,0.028824434649516673
2820,"DUOX1",53905,0.9068308083601091,0.09353214562354764,0.9999999954648668,0.11057319907048799,0.9955231140736492,0.06351665375677769,-1.0,0.0,-1.0,0.0,0.06502693833424461,0.08055770720371805,0.921590252330365,0.18222308288148722,0.02905407497942157,0.17544539116963595,0.0,0.5094887683965917,0.9621793467790745,0.17428350116189,0.02735620214738707,0.19345468628969792,0.9553011566345947,0.06777691711851278,0.6534167237567058,0.028826394766569008
2821,"AKAP11",11215,0.6610083237216341,0.15182029434546862,0.9999994415264456,0.11289697908597986,0.9721751030489281,0.09043377226955848,-1.0,0.0,0.999994320824936,0.05209140201394268,0.0,0.5426026336173508,0.9552768245473114,0.1706041828040279,0.9550564452160875,0.05712625871417506,0.0,0.5094887683965917,0.9999953579424185,0.07358636715724244,0.23207637550889734,0.16150271107668474,6.52386152782244E-4,0.18435321456235476,0.6653962741063654,0.0288678660165832
2822,"NID1",4811,0.3976005092763973,0.18938807126258714,0.9734632695976032,0.18861347792408986,0.5680721044077789,0.19655305964368708,-1.0,0.0,-1.0,0.0,0.0,0.5426026336173508,0.9553097583749118,0.17041053446940357,0.839863794540189,0.08462432223082882,-1.0,0.0,0.9999999698096553,0.05809450038729667,0.9131039027832599,0.03679318357862122,0.945575109935188,0.07164988381099922,0.8047881315106639,0.028881031673730018
2823,"SYNE4",163183,7.783778440727634E-4,0.23063516653756777,0.8464427120367762,0.2126258714175058,0.99498954140252,0.06564678543764524,0.6556424350442708,0.06293570875290473,0.9999838831518137,0.05557707203718048,-1.0,0.0,0.8948849702597811,0.18745158791634392,0.9752591557286295,0.04783113865220759,0.0,0.5094887683965917,0.7110427560969429,0.21010844306738963,0.7012303308952526,0.07474825716498838,0.0,0.5921766072811774,0.6720361348928378,0.028901263503910868
2824,"MCMBP",79892,0.126173275824382,0.20468628969790859,0.9944710669527397,0.17505809450038728,0.8565726653747757,0.14697908597986056,-1.0,0.0,0.18646419906142062,0.13613477924089853,-1.0,0.0,0.9553069212836471,0.17041053446940357,0.9927351403871931,0.03621223857474826,-1.0,0.0,0.9999830724020563,0.08481797056545314,0.4195187666848643,0.12742060418280401,0.05435386388768078,0.17680092951200618,0.733623361274006,0.028926950421857445
2825,"ALOX15B",247,0.4737796876343029,0.17738187451587917,0.9999999999999925,0.11057319907048799,0.888343571832078,0.12761425251742836,-1.0,0.0,-1.0,0.0,0.2729856931131078,0.0609992254066615,0.9281634927436041,0.180286599535244,0.6311561323529844,0.11890007745933386,0.0,0.5094887683965917,0.9990833482678724,0.12238574748257165,0.13578741158821242,0.1785437645236251,0.9820131488453512,0.054996127033307515,0.7344985883163435,0.02898724431754729
2826,"FAM83D",81610,0.7892273577799034,0.12587141750580946,0.9999999988984893,0.11057319907048799,0.9145900967491672,0.11696359411309062,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.9501958714110809,0.17137877614252517,0.7899635649020748,0.09256390395042603,-1.0,0.0,0.9998862225786636,0.10166537567776918,0.6788374010394391,0.0784275755228505,0.016660013943038114,0.18048024786986833,0.8403637347255526,0.029004110874697786
